Year,strategy,Unit,Value
2015,10_phase,per,88
2016,10_phase,per,100
2017,10_phase,per,100
2018,10_phase,per,100
2019,10_phase,per,100
2020,10_phase,per,100
2021,10_phase,per,100
2022,10_phase,per,100
2023,10_phase,per,100
2015,10_phase,number,22
2016,10_phase,number,25
2017,10_phase,number,25
2018,10_phase,number,25
2019,10_phase,number,25
2020,10_phase,number,25
2021,10_phase,number,25
2022,10_phase,number,25
2023,10_phase,number,25
2015,11_phase,per,64
2016,11_phase,per,96
2017,11_phase,per,100
2018,11_phase,per,
2019,11_phase,per,
2020,11_phase,per,
2021,11_phase,per,100
2022,11_phase,per,100
2023,11_phase,per,100
2015,11_phase,number,16
2016,11_phase,number,24
2017,11_phase,number,25
2018,11_phase,number,
2019,11_phase,number,
2020,11_phase,number,
2021,11_phase,number,25
2022,11_phase,number,25
2023,11_phase,number,25
2015,12_phase,per,
2016,12_phase,per,
2017,12_phase,per,52
2018,12_phase,per,84
2019,12_phase,per,92
2020,12_phase,per,100
2021,12_phase,per,
2022,12_phase,per,
2023,12_phase,per,
2015,12_phase,number,
2016,12_phase,number,
2017,12_phase,number,13
2018,12_phase,number,21
2019,12_phase,number,23
2020,12_phase,number,25
2021,12_phase,number,
2022,12_phase,number,
2023,12_phase,number,
