Year,Pollutants,Value
2015,,34
2016,,34
2017,,34
2018,,35
2019,,36
2020,,35
2021,,34
2022,,34
2023,,30
2015,pol_11_dust,11
2016,pol_11_dust,10
2017,pol_11_dust,9
2018,pol_11_dust,11
2019,pol_11_dust,11
2020,pol_11_dust,7
2021,pol_11_dust,7
2022,pol_11_dust,8
2023,pol_11_dust,8
2015,pol_12_sulfur,
2016,pol_12_sulfur,
2017,pol_12_sulfur,
2018,pol_12_sulfur,
2019,pol_12_sulfur,1
2020,pol_12_sulfur,1
2021,pol_12_sulfur,
2022,pol_12_sulfur,1
2023,pol_12_sulfur,1
2015,pol_13_carbon,2
2016,pol_13_carbon,5
2017,pol_13_carbon,4
2018,pol_13_carbon,3
2019,pol_13_carbon,4
2020,pol_13_carbon,2
2021,pol_13_carbon,1
2022,pol_13_carbon,2
2023,pol_13_carbon,1
2015,pol_14_nitrogen,23
2016,pol_14_nitrogen,23
2017,pol_14_nitrogen,21
2018,pol_14_nitrogen,22
2019,pol_14_nitrogen,26
2020,pol_14_nitrogen,25
2021,pol_14_nitrogen,26
2022,pol_14_nitrogen,24
2023,pol_14_nitrogen,22
2015,pol_15_nitrix,1
2016,pol_15_nitrix,2
2017,pol_15_nitrix,1
2018,pol_15_nitrix,2
2019,pol_15_nitrix,2
2020,pol_15_nitrix,2
2021,pol_15_nitrix,2
2022,pol_15_nitrix,2
2023,pol_15_nitrix,1
2015,pol_16_phenol,6
2016,pol_16_phenol,5
2017,pol_16_phenol,8
2018,pol_16_phenol,7
2019,pol_16_phenol,9
2020,pol_16_phenol,6
2021,pol_16_phenol,6
2022,pol_16_phenol,7
2023,pol_16_phenol,7
2015,pol_17_soot,1
2016,pol_17_soot,1
2017,pol_17_soot,1
2018,pol_17_soot,1
2019,pol_17_soot,1
2020,pol_17_soot,
2021,pol_17_soot,
2022,pol_17_soot,1
2023,pol_17_soot,
2015,pol_18_hydrogen,2
2016,pol_18_hydrogen,2
2017,pol_18_hydrogen,2
2018,pol_18_hydrogen,2
2019,pol_18_hydrogen,3
2020,pol_18_hydrogen,
2021,pol_18_hydrogen,2
2022,pol_18_hydrogen,1
2023,pol_18_hydrogen,4
2015,pol_19_ammonia,2
2016,pol_19_ammonia,2
2017,pol_19_ammonia,1
2018,pol_19_ammonia,1
2019,pol_19_ammonia,2
2020,pol_19_ammonia,2
2021,pol_19_ammonia,1
2022,pol_19_ammonia,1
2023,pol_19_ammonia,1
2015,pol_20_form,22
2016,pol_20_form,23
2017,pol_20_form,24
2018,pol_20_form,25
2019,pol_20_form,25
2020,pol_20_form,23
2021,pol_20_form,24
2022,pol_20_form,25
2023,pol_20_form,20
