Year,Article,Unit,Value
2015,art_1_115,1_total,8224
2016,art_1_115,1_total,5992
2017,art_1_115,1_total,5145
2018,art_1_115,1_total,5557
2019,art_1_115,1_total,5465
2020,art_1_115,1_total,3809
2021,art_1_115,1_total,3230
2022,art_1_115,1_total,5264
2023,art_1_115,1_total,16129
2015,art_1_115,2_per_100,19.23
2016,art_1_115,2_per_100,14.07
2017,art_1_115,2_per_100,12.14
2018,art_1_115,2_per_100,13.18
2019,art_1_115,2_per_100,13.04
2020,art_1_115,2_per_100,9.16
2021,art_1_115,2_per_100,7.85
2022,art_1_115,2_per_100,12.79
2023,art_1_115,2_per_100,39.18
2015,art_2_116,1_total,7
2016,art_2_116,1_total,7
2017,art_2_116,1_total,5
2018,art_2_116,1_total,6
2019,art_2_116,1_total,4
2020,art_2_116,1_total,7
2021,art_2_116,1_total,3
2022,art_2_116,1_total,1
2023,art_2_116,1_total,2
2015,art_2_116,2_per_100,0.02
2016,art_2_116,2_per_100,0.02
2017,art_2_116,2_per_100,0.01
2018,art_2_116,2_per_100,0.01
2019,art_2_116,2_per_100,0.01
2020,art_2_116,2_per_100,0.02
2021,art_2_116,2_per_100,0.01
2022,art_2_116,2_per_100,0.00
2023,art_2_116,2_per_100,0.00
2015,art_3_117,1_total,11
2016,art_3_117,1_total,14
2017,art_3_117,1_total,11
2018,art_3_117,1_total,12
2019,art_3_117,1_total,19
2020,art_3_117,1_total,10
2021,art_3_117,1_total,6
2022,art_3_117,1_total,8
2023,art_3_117,1_total,8
2015,art_3_117,2_per_100,0.03
2016,art_3_117,2_per_100,0.03
2017,art_3_117,2_per_100,0.03
2018,art_3_117,2_per_100,0.03
2019,art_3_117,2_per_100,0.05
2020,art_3_117,2_per_100,0.02
2021,art_3_117,2_per_100,0.01
2022,art_3_117,2_per_100,0.02
2023,art_3_117,2_per_100,0.02
2015,art_4_118,1_total,38
2016,art_4_118,1_total,38
2017,art_4_118,1_total,19
2018,art_4_118,1_total,25
2019,art_4_118,1_total,20
2020,art_4_118,1_total,18
2021,art_4_118,1_total,12
2022,art_4_118,1_total,25
2023,art_4_118,1_total,16
2015,art_4_118,2_per_100,0.09
2016,art_4_118,2_per_100,0.09
2017,art_4_118,2_per_100,0.04
2018,art_4_118,2_per_100,0.06
2019,art_4_118,2_per_100,0.05
2020,art_4_118,2_per_100,0.04
2021,art_4_118,2_per_100,0.01
2022,art_4_118,2_per_100,0.06
2023,art_4_118,2_per_100,0.04
2015,art_5_121,1_total,2511
2016,art_5_121,1_total,2256
2017,art_5_121,1_total,2096
2018,art_5_121,1_total,2130
2019,art_5_121,1_total,1940
2020,art_5_121,1_total,1703
2021,art_5_121,1_total,1601
2022,art_5_121,1_total,1502
2023,art_5_121,1_total,1390
2015,art_5_121,2_per_100,5.87
2016,art_5_121,2_per_100,5.30
2017,art_5_121,2_per_100,4.94
2018,art_5_121,2_per_100,5.05
2019,art_5_121,2_per_100,4.63
2020,art_5_121,2_per_100,4.09
2021,art_5_121,2_per_100,3.89
2022,art_5_121,2_per_100,3.65
2023,art_5_121,2_per_100,3.38
