Year,Region,Value
2015,,
2016,,121
2017,,167
2018,,112
2019,,10
2020,,41
2021,,32
2022,,24
2023,,38
2015,14_reg_Donetsk,
2016,14_reg_Donetsk,
2017,14_reg_Donetsk,
2018,14_reg_Donetsk,
2019,14_reg_Donetsk,
2020,14_reg_Donetsk,18
2021,14_reg_Donetsk,18
2022,14_reg_Donetsk,24
2023,14_reg_Donetsk,36
2015,21_reg_Luhansk,
2016,21_reg_Luhansk,
2017,21_reg_Luhansk,
2018,21_reg_Luhansk,
2019,21_reg_Luhansk,
2020,21_reg_Luhansk,23
2021,21_reg_Luhansk,14
2022,21_reg_Luhansk,
2023,21_reg_Luhansk,2
