Year,Group,Value
2015,,8.6
2016,,9.6
2017,,10.8
2018,,11.8
2019,,12.5
2020,,12.4
2015,Vinnytsya,10.8
2016,Vinnytsya,11.8
2017,Vinnytsya,13.3
2018,Vinnytsya,14.1
2019,Vinnytsya,15.4
2020,Vinnytsya,14.7
2015,Volyn,7.7
2016,Volyn,8.7
2017,Volyn,10.2
2018,Volyn,12
2019,Volyn,12.5
2020,Volyn,13.5
2015,Dnipropetrovsk,8.7
2016,Dnipropetrovsk,10.3
2017,Dnipropetrovsk,11.3
2018,Dnipropetrovsk,12.1
2019,Dnipropetrovsk,13
2020,Dnipropetrovsk,13
2015,Donetsk,9.8
2016,Donetsk,10.5
2017,Donetsk,11.2
2018,Donetsk,12.1
2019,Donetsk,12.9
2020,Donetsk,12.5
2015,Zhytomyr,10
2016,Zhytomyr,11
2017,Zhytomyr,14.3
2018,Zhytomyr,15.7
2019,Zhytomyr,15
2020,Zhytomyr,14.4
2015,Zakarpattya,5.7
2016,Zakarpattya,6.7
2017,Zakarpattya,7.1
2018,Zakarpattya,7.5
2019,Zakarpattya,8
2020,Zakarpattya,8
2015,Zaporizhya,9.3
2016,Zaporizhya,10.3
2017,Zaporizhya,12.2
2018,Zaporizhya,13.4
2019,Zaporizhya,13.6
2020,Zaporizhya,13.2
2015,Ivano-Frankivsk,5.3
2016,Ivano-Frankivsk,6.3
2017,Ivano-Frankivsk,7.3
2018,Ivano-Frankivsk,7.9
2019,Ivano-Frankivsk,9
2020,Ivano-Frankivsk,9.4
2015,Kyiv,12
2016,Kyiv,13.1
2017,Kyiv,15.1
2018,Kyiv,16.3
2019,Kyiv,16.8
2020,Kyiv,16.1
2015,Kirovohrad,8.3
2016,Kirovohrad,9.5
2017,Kirovohrad,10.7
2018,Kirovohrad,12
2019,Kirovohrad,13.5
2020,Kirovohrad,13.4
2015,Luhansk,5.4
2016,Luhansk,5.7
2017,Luhansk,7.3
2018,Luhansk,8.6
2019,Luhansk,9
2020,Luhansk,9.2
2015,Lviv,6.6
2016,Lviv,7.5
2017,Lviv,8.3
2018,Lviv,8.9
2019,Lviv,9.4
2020,Lviv,9.6
2015,Mykolayiv,8.8
2016,Mykolayiv,9.8
2017,Mykolayiv,10.6
2018,Mykolayiv,12.4
2019,Mykolayiv,13.4
2020,Mykolayiv,13.4
2015,Odesa,12
2016,Odesa,13
2017,Odesa,14.7
2018,Odesa,15.4
2019,Odesa,16
2020,Odesa,15.1
2015,Poltava,7.9
2016,Poltava,8.8
2017,Poltava,10.3
2018,Poltava,10.7
2019,Poltava,12
2020,Poltava,12.2
2015,Rivne,6.6
2016,Rivne,7.9
2017,Rivne,8.1
2018,Rivne,9
2019,Rivne,10.5
2020,Rivne,11
2015,Sumy,6
2016,Sumy,7
2017,Sumy,8.3
2018,Sumy,9.1
2019,Sumy,9.5
2020,Sumy,10.6
2015,Ternopil,5.5
2016,Ternopil,6.4
2017,Ternopil,8
2018,Ternopil,8.4
2019,Ternopil,9.6
2020,Ternopil,9.4
2015,Kharkiv,6.9
2016,Kharkiv,8
2017,Kharkiv,8.7
2018,Kharkiv,9.2
2019,Kharkiv,9.2
2020,Kharkiv,9.5
2015,Kherson,9.9
2016,Kherson,10.9
2017,Kherson,12.4
2018,Kherson,13
2019,Kherson,14
2020,Kherson,14.5
2015,Khmelnytskiy,7
2016,Khmelnytskiy,8
2017,Khmelnytskiy,8.3
2018,Khmelnytskiy,9.3
2019,Khmelnytskiy,10.5
2020,Khmelnytskiy,11.1
2015,Cherkasy,10.3
2016,Cherkasy,12.3
2017,Cherkasy,13.1
2018,Cherkasy,13.8
2019,Cherkasy,13.9
2020,Cherkasy,14.2
2015,Chernivtsi,6.7
2016,Chernivtsi,7.5
2017,Chernivtsi,7.8
2018,Chernivtsi,233.7
2019,Chernivtsi,226.6
2020,Chernivtsi,220.1
2015,Chernihiv,239.2
2016,Chernihiv,226.7
2017,Chernihiv,217.7
2018,Chernihiv,9.3
2019,Chernihiv,10.5
2020,Chernihiv,10.3
