Year,Farms of all categories, Enterprises, Households, Value
2015,agricultural products (farms),,,95.2
2016,agricultural products (farms),,,106.3
2017,agricultural products (farms),,,97.8
2018,agricultural products (farms),,,108.2
2019,agricultural products (farms),,,101.4
2020,agricultural products (farms),,,89.9
2015,crop products (farms),,,94.8
2016,crop products (farms),,,109.1
2017,crop products (farms),,,97.1
2018,crop products (farms),,,110.2
2019,crop products (farms),,,101.8
2020,crop products (farms),,,87.9
2015,livestock products (farms),,,96.4
2016,livestock products (farms),,,97.3
2017,livestock products (farms),,,100.2
2018,livestock products (farms),,,101.2
2019,livestock products (farms),,,100.2
2020,livestock products (farms),,,97.5
2015,,agricultural products (enterprises),,94.8
2016,,agricultural products (enterprises),,109.7
2017,,agricultural products (enterprises),,97
2018,,agricultural products (enterprises),,112
2019,,agricultural products (enterprises),,102.7
2020,,agricultural products (enterprises),,88
2015,,crop products (enterprises),,94.5
2016,,crop products (enterprises),,112.4
2017,,crop products (enterprises),,96.2
2018,,crop products (enterprises),,113.6
2019,,crop products (enterprises),,102.5
2020,,crop products (enterprises),,85.8
2015,,livestock products (enterprises),,96.5
2016,,livestock products (enterprises),,97.5
2017,,livestock products (enterprises),,101
2018,,livestock products (enterprises),,104.5
2019,,livestock products (enterprises),,103.8
2020,,livestock products (enterprises),,99.3
2015,,,agricultural products (households),95.8
2016,,,agricultural products (households),100.9
2017,,,agricultural products (households),99.3
2018,,,agricultural products (households),101.7
2019,,,agricultural products (households),99.1
2020,,,agricultural products (households),93.6
2015,,,crop products (households),95.5
2016,,,crop products (households),102.8
2017,,,crop products (households),99.1
2018,,,crop products (households),103.3
2019,,,crop products (households),100.2
2020,,,crop products (households),92.8
2015,,,livestock products (households),96.3
2016,,,livestock products (households),97.2
2017,,,livestock products (households),99.6
2018,,,livestock products (households),98.1
2019,,,livestock products (households),96.7
2020,,,livestock products (households),95.6
