Year,Desease,Age,Value
2015,tuberculosis,under 1 year,39.8
2016,tuberculosis,under 1 year,72.3
2017,tuberculosis,under 1 year,83.6
2018,tuberculosis,under 1 year,90.1
2019,tuberculosis,under 1 year,88.6
2020,tuberculosis,under 1 year,88.8
2015,hepatitis B,under 1 year,25.4
2016,hepatitis B,under 1 year,28.8
2017,hepatitis B,under 1 year,57
2018,hepatitis B,under 1 year,67
2019,hepatitis B,under 1 year,77
2020,hepatitis B,under 1 year,79.8
2015,measles. mumps. rubella,1 year,63.2
2016,measles. mumps. rubella,1 year,45.5
2017,measles. mumps. rubella,1 year,93.3
2018,measles. mumps. rubella,1 year,91
2019,measles. mumps. rubella,1 year,93.2
2020,measles. mumps. rubella,1 year,83.3
2015,measles. mumps. rubella,6 years,62.1
2016,measles. mumps. rubella,6 years,30.2
2017,measles. mumps. rubella,6 years,90.7
2018,measles. mumps. rubella,6 years,89.5
2019,measles. mumps. rubella,6 years,91.7
2020,measles. mumps. rubella,6 years,83.4
2015,diphtheria. tetanus,under 1 year,26.5
2016,diphtheria. tetanus,under 1 year,21
2017,diphtheria. tetanus,under 1 year,53.2
2018,diphtheria. tetanus,under 1 year,69.3
2019,diphtheria. tetanus,under 1 year,80.5
2020,diphtheria. tetanus,under 1 year,80.1
2015,diphtheria. tetanus,18 months,33.1
2016,diphtheria. tetanus,18 months,23.1
2017,diphtheria. tetanus,18 months,51.2
2018,diphtheria. tetanus,18 months,66.1
2019,diphtheria. tetanus,18 months,80.5
2020,diphtheria. tetanus,18 months,78.1
2015,diphtheria. tetanus,6 years,4.1
2016,diphtheria. tetanus,6 years,59.1
2017,diphtheria. tetanus,6 years,83.5
2018,diphtheria. tetanus,6 years,83.4
2019,diphtheria. tetanus,6 years,72.9
2020,diphtheria. tetanus,6 years,77.5
2015,diphtheria. tetanus,16 years,1.9
2016,diphtheria. tetanus,16 years,56.1
2017,diphtheria. tetanus,16 years,76.7
2018,diphtheria. tetanus,16 years,77.9
2019,diphtheria. tetanus,16 years,91.5
2020,diphtheria. tetanus,16 years,73.6
2015,diphtheria. tetanus,adult,0.1
2016,diphtheria. tetanus,adult,20.7
2017,diphtheria. tetanus,adult,44.8
2018,diphtheria. tetanus,adult,55.6
2019,diphtheria. tetanus,adult,83.4
2020,diphtheria. tetanus,adult,47
2015,pertussis,under 1 year,26.5
2016,pertussis,under 1 year,21
2017,pertussis,under 1 year,53.2
2018,pertussis,under 1 year,69.3
2019,pertussis,under 1 year,80.5
2020,pertussis,under 1 year,80.1
2015,pertussis,18 months,33.1
2016,pertussis,18 months,23.1
2017,pertussis,18 months,51.2
2018,pertussis,18 months,66.1
2019,pertussis,18 months,80.5
2020,pertussis,18 months,78.1
2015,poliomyelitis,under 1 year,63.8
2016,poliomyelitis,under 1 year,60.8
2017,poliomyelitis,under 1 year,51.9
2018,poliomyelitis,under 1 year,71.1
2019,poliomyelitis,under 1 year,78.4
2020,poliomyelitis,under 1 year,83
2015,poliomyelitis,18 months,86.5
2016,poliomyelitis,18 months,66.4
2017,poliomyelitis,18 months,71.4
2018,poliomyelitis,18 months,67.8
2019,poliomyelitis,18 months,78.7
2020,poliomyelitis,18 months,83
2015,poliomyelitis,6 years,49.2
2016,poliomyelitis,6 years,85.7
2017,poliomyelitis,6 years,88.2
2018,poliomyelitis,6 years,81.3
2019,poliomyelitis,6 years,80.3
2020,poliomyelitis,6 years,81.7
2015,poliomyelitis,14 years,50.6
2016,poliomyelitis,14 years,79.9
2017,poliomyelitis,14 years,88.1
2018,poliomyelitis,14 years,80.2
2019,poliomyelitis,14 years,80.9
2020,poliomyelitis,14 years,81.8
2015,hib infection,under 1 year,43.2
2016,hib infection,under 1 year,36
2017,hib infection,under 1 year,34.8
2018,hib infection,under 1 year,52.5
2019,hib infection,under 1 year,76.5
2020,hib infection,under 1 year,85.1
2015,hib infection,1 year,38.6
2016,hib infection,1 year,51.6
2017,hib infection,1 year,44.5
2018,hib infection,1 year,57.7
2019,hib infection,1 year,80
2020,hib infection,1 year,83.6
