Year,Gender,Type of residence,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,212
2015,female11,,
2016,female11,,
2017,female11,,
2018,female11,,
2019,female11,,
2020,female11,,274
2015,male11,,
2016,male11,,
2017,male11,,
2018,male11,,
2019,male11,,
2020,male11,,129
2015,,urban11,
2016,,urban11,
2017,,urban11,
2018,,urban11,
2019,,urban11,
2020,,urban11,207
2015,female11,urban11,
2016,female11,urban11,
2017,female11,urban11,
2018,female11,urban11,
2019,female11,urban11,
2020,female11,urban11,257
2015,male11,urban11,
2016,male11,urban11,
2017,male11,urban11,
2018,male11,urban11,
2019,male11,urban11,
2020,male11,urban11,124
2015,,rural11,
2016,,rural11,
2017,,rural11,
2018,,rural11,
2019,,rural11,
2020,,rural11,256
2015,female11,rural11,
2016,female11,rural11,
2017,female11,rural11,
2018,female11,rural11,
2019,female11,rural11,
2020,female11,rural11,382
2015,male11,rural11,
2016,male11,rural11,
2017,male11,rural11,
2018,male11,rural11,
2019,male11,rural11,
2020,male11,rural11,149
