Year,Ec_activ,Value
2015,,74.9
2016,,74.6
2017,,78.8
2018,,77.7
2019,,77.2
2020,,79.6
2015,agricul,82.4
2016,agricul,82.2
2017,agricul,82.2
2018,agricul,80
2019,agricul,79.9
2020,agricul,81.2
2015,indu,74.1
2016,indu,74.7
2017,indu,76.3
2018,indu,74.8
2019,indu,74.3
2020,indu,74.4
2015,constr,89
2016,constr,91.5
2017,constr,93.2
2018,constr,89.4
2019,constr,94.1
2020,constr,94.4
2015,motor_veh,79
2016,motor_veh,78
2017,motor_veh,77.4
2018,motor_veh,78.6
2019,motor_veh,81.3
2020,motor_veh,81.5
2015,courier,76.5
2016,courier,77.4
2017,courier,76.3
2018,courier,75.5
2019,courier,77.2
2020,courier,75.8
2015,cater,88.1
2016,cater,86.2
2017,cater,86.6
2018,cater,86
2019,cater,90.9
2020,cater,87.7
2015,telecom,80.6
2016,telecom,77.3
2017,telecom,80.1
2018,telecom,79.9
2019,telecom,80.3
2020,telecom,78.5
2015,insurance,66.4
2016,insurance,67
2017,insurance,64.4
2018,insurance,63.9
2019,insurance,63.9
2020,insurance,68
2015,estate,94.2
2016,estate,93.6
2017,estate,92.3
2018,estate,87.8
2019,estate,91.4
2020,estate,95.3
2015,scientific,84.3
2016,scientific,83.4
2017,scientific,85.1
2018,scientific,80.6
2019,scientific,78.1
2020,scientific,77.3
2015,support,101.1
2016,support,103
2017,support,99.8
2018,support,98.9
2019,support,105.1
2020,support,103.5
2015,public,90.7
2016,public,93.3
2017,public,93
2018,public,95.1
2019,public,95.5
2020,public,92.1
2015,educ,93.4
2016,educ,93.7
2017,educ,95.4
2018,educ,96.4
2019,educ,96.2
2020,educ,96.5
2015,health,89.7
2016,health,89.3
2017,health,90.1
2018,health,88.9
2019,health,89.3
2020,health,86.9
2015,arts,47.2
2016,arts,50
2017,arts,59.6
2018,arts,61.6
2019,arts,64.1
2020,arts,63.5
2015,other_serv,89.1
2016,other_serv,82.6
2017,other_serv,82.5
2018,other_serv,85.8
2019,other_serv,88.1
2020,other_serv,98.4
