Year,Category,Unit,including,Value
2015,electr_1_supply,kWh,,146642
2016,electr_1_supply,kWh,,141619
2017,electr_1_supply,kWh,,142509
2018,electr_1_supply,kWh,,146523
2019,electr_1_supply,kWh,,141329
2020,electr_1_supply,kWh,,
2015,electr_2_pr_supply,kWh,,131861
2016,electr_2_pr_supply,kWh,,131274
2017,electr_2_pr_supply,kWh,,132093
2018,electr_2_pr_supply,kWh,,129191
2019,electr_2_pr_supply,kWh,,116612
2020,electr_2_pr_supply,kWh,,
2015,electr_3_act_value,kWh,,16860
2016,electr_3_act_value,kWh,,16626
2017,electr_3_act_value,kWh,,16774
2018,electr_3_act_value,kWh,,16996
2019,electr_3_act_value,kWh,,16418
2020,electr_3_act_value,kWh,,
2015,electr_3_act_value,per,,11.5
2016,electr_3_act_value,per,,11.74
2017,electr_3_act_value,per,,11.77
2018,electr_3_act_value,per,,11.6
2019,electr_3_act_value,per,,11.62
2020,electr_3_act_value,per,,
2015,electr_3_act_value,kWh,1_norm_val,19034
2016,electr_3_act_value,kWh,1_norm_val,18805
2017,electr_3_act_value,kWh,1_norm_val,18820
2018,electr_3_act_value,kWh,1_norm_val,19140
2019,electr_3_act_value,kWh,1_norm_val,18238
2020,electr_3_act_value,kWh,1_norm_val,
2015,electr_3_act_value,per,1_norm_val,13
2016,electr_3_act_value,per,1_norm_val,13.3
2017,electr_3_act_value,per,1_norm_val,13.2
2018,electr_3_act_value,per,1_norm_val,13.1
2019,electr_3_act_value,per,1_norm_val,12.9
2020,electr_3_act_value,per,1_norm_val,
2015,electr_3_act_value,kWh,2_exc_val,-2174
2016,electr_3_act_value,kWh,2_exc_val,-2179
2017,electr_3_act_value,kWh,2_exc_val,-2046
2018,electr_3_act_value,kWh,2_exc_val,-2144
2019,electr_3_act_value,kWh,2_exc_val,-1820
2020,electr_3_act_value,kWh,2_exc_val,
2015,electr_3_act_value,per,2_exc_val,-1.5
2016,electr_3_act_value,per,2_exc_val,-1.5
2017,electr_3_act_value,per,2_exc_val,-1.4
2018,electr_3_act_value,per,2_exc_val,-1.5
2019,electr_3_act_value,per,2_exc_val,-1.3
2020,electr_3_act_value,per,2_exc_val,
2015,electr_4_tech_cons,kWh,,12611
2016,electr_4_tech_cons,kWh,,12885
2017,electr_4_tech_cons,kWh,,12932
2018,electr_4_tech_cons,kWh,,13223
2019,electr_4_tech_conse,kWh,,12887
2020,electr_4_tech_cons,kWh,,
2015,electr_4_tech_cons,per,,9.79
2016,electr_4_tech_cons,per,,9.9
2017,electr_4_tech_cons,per,,9.89
2018,electr_4_tech_cons,per,,9.84
2019,electr_4_tech_conse,per,,10.35
2020,electr_4_tech_cons,per,,
