Year,Object,1_Level,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2015,1_health,1_free,
2016,1_health,1_free,
2017,1_health,1_free,
2018,1_health,1_free,
2019,1_health,1_free,
2020,1_health,1_free,
2021,1_health,1_free,35
2015,1_health,2_part,
2016,1_health,2_part,
2017,1_health,2_part,
2018,1_health,2_part,
2019,1_health,2_part,
2020,1_health,2_part,
2021,1_health,2_part,39
2015,2_educational,1_free,
2016,2_educational,1_free,
2017,2_educational,1_free,
2018,2_educational,1_free,
2019,2_educational,1_free,
2020,2_educational,1_free,
2021,2_educational,1_free,16
2015,2_educational,2_part,
2016,2_educational,2_part,
2017,2_educational,2_part,
2018,2_educational,2_part,
2019,2_educational,2_part,
2020,2_educational,2_part,
2021,2_educational,2_part,48
2015,3_soc_prot,1_free,
2016,3_soc_prot,1_free,
2017,3_soc_prot,1_free,
2018,3_soc_prot,1_free,
2019,3_soc_prot,1_free,
2020,3_soc_prot,1_free,
2021,3_soc_prot,1_free,28
2015,3_soc_prot,2_part,
2016,3_soc_prot,2_part,
2017,3_soc_prot,2_part,
2018,3_soc_prot,2_part,
2019,3_soc_prot,2_part,
2020,3_soc_prot,2_part,
2021,3_soc_prot,2_part,52
2015,4_employ,1_free,
2016,4_employ,1_free,
2017,4_employ,1_free,
2018,4_employ,1_free,
2019,4_employ,1_free,
2020,4_employ,1_free,
2021,4_employ,1_free,21
2015,4_employ,2_part,
2016,4_employ,2_part,
2017,4_employ,2_part,
2018,4_employ,2_part,
2019,4_employ,2_part,
2020,4_employ,2_part,
2021,4_employ,2_part,58
2015,5_admin,1_free,
2016,5_admin,1_free,
2017,5_admin,1_free,
2018,5_admin,1_free,
2019,5_admin,1_free,
2020,5_admin,1_free,
2021,5_admin,1_free,35
2015,5_admin,2_part,
2016,5_admin,2_part,
2017,5_admin,2_part,
2018,5_admin,2_part,
2019,5_admin,2_part,
2020,5_admin,2_part,
2021,5_admin,2_part,43
2015,6_nation,1_free,
2016,6_nation,1_free,
2017,6_nation,1_free,
2018,6_nation,1_free,
2019,6_nation,1_free,
2020,6_nation,1_free,
2021,6_nation,1_free,13
2015,6_nation,2_part,
2016,6_nation,2_part,
2017,6_nation,2_part,
2018,6_nation,2_part,
2019,6_nation,2_part,
2020,6_nation,2_part,
2021,6_nation,2_part,33
2015,7_transport,1_free,
2016,7_transport,1_free,
2017,7_transport,1_free,
2018,7_transport,1_free,
2019,7_transport,1_free,
2020,7_transport,1_free,
2021,7_transport,1_free,22
2015,7_transport,2_part,
2016,7_transport,2_part,
2017,7_transport,2_part,
2018,7_transport,2_part,
2019,7_transport,2_part,
2020,7_transport,2_part,
2021,7_transport,2_part,57
2015,8_pension,1_free,
2016,8_pension,1_free,
2017,8_pension,1_free,
2018,8_pension,1_free,
2019,8_pension,1_free,
2020,8_pension,1_free,
2021,8_pension,1_free,41
2015,8_pension,2_part,
2016,8_pension,2_part,
2017,8_pension,2_part,
2018,8_pension,2_part,
2019,8_pension,2_part,
2020,8_pension,2_part,
2021,8_pension,2_part,47
2015,9_civ_prot,1_free,
2016,9_civ_prot,1_free,
2017,9_civ_prot,1_free,
2018,9_civ_prot,1_free,
2019,9_civ_prot,1_free,
2020,9_civ_prot,1_free,
2021,9_civ_prot,1_free,3
2015,9_civ_prot,2_part,
2016,9_civ_prot,2_part,
2017,9_civ_prot,2_part,
2018,9_civ_prot,2_part,
2019,9_civ_prot,2_part,
2020,9_civ_prot,2_part,
2021,9_civ_prot,2_part,27
2015,99_judge,1_free,
2016,99_judge,1_free,
2017,99_judge,1_free,
2018,99_judge,1_free,
2019,99_judge,1_free,
2020,99_judge,1_free,
2021,99_judge,1_free,12
2015,99_judge,2_part,
2016,99_judge,2_part,
2017,99_judge,2_part,
2018,99_judge,2_part,
2019,99_judge,2_part,
2020,99_judge,2_part,
2021,99_judge,2_part,52
