Year,Group,,Value
2015,,,14
2016,,,39
2017,,,56
2018,,,62
2019,,,46
2020,,,52
2015,,Vinnytsya,7
2016,,Vinnytsya,38
2017,,Vinnytsya,53
2018,,Vinnytsya,62
2019,,Vinnytsya,38
2020,,Vinnytsya,43
2015,,Volyn,7
2016,,Volyn,32
2017,,Volyn,48
2018,,Volyn,56
2019,,Volyn,51
2020,,Volyn,54
2015,,Dnipropetrovsk,10
2016,,Dnipropetrovsk,31
2017,,Dnipropetrovsk,48
2018,,Dnipropetrovsk,56
2019,,Dnipropetrovsk,48
2020,,Dnipropetrovsk,51
2015,,Donetsk,5
2016,,Donetsk,27
2017,,Donetsk,46
2018,,Donetsk,43
2019,,Donetsk,31
2020,,Donetsk,38
2015,,Zhytomyr,5
2016,,Zhytomyr,37
2017,,Zhytomyr,52
2018,,Zhytomyr,57
2019,,Zhytomyr,32
2020,,Zhytomyr,41
2015,,Zakarpattya,5
2016,,Zakarpattya,24
2017,,Zakarpattya,40
2018,,Zakarpattya,46
2019,,Zakarpattya,35
2020,,Zakarpattya,37
2015,,Zaporizhya,9
2016,,Zaporizhya,35
2017,,Zaporizhya,52
2018,,Zaporizhya,51
2019,,Zaporizhya,53
2020,,Zaporizhya,58
2015,,Ivano-Frankivsk,6
2016,,Ivano-Frankivsk,23
2017,,Ivano-Frankivsk,41
2018,,Ivano-Frankivsk,48
2019,,Ivano-Frankivsk,43
2020,,Ivano-Frankivsk,53
2015,,Kyiv,9
2016,,Kyiv,42
2017,,Kyiv,59
2018,,Kyiv,69
2019,,Kyiv,69
2020,,Kyiv,76
2015,,Kirovohrad,8
2016,,Kirovohrad,23
2017,,Kirovohrad,43
2018,,Kirovohrad,49
2019,,Kirovohrad,30
2020,,Kirovohrad,33
2015,,Luhansk,3
2016,,Luhansk,21
2017,,Luhansk,38
2018,,Luhansk,42
2019,,Luhansk,26
2020,,Luhansk,32
2015,,Lviv,11
2016,,Lviv,43
2017,,Lviv,56
2018,,Lviv,66
2019,,Lviv,54
2020,,Lviv,64
2015,,Mykolayiv,10
2016,,Mykolayiv,44
2017,,Mykolayiv,62
2018,,Mykolayiv,71
2019,,Mykolayiv,42
2020,,Mykolayiv,46
2015,,Odesa,56
2016,,Odesa,95
2017,,Odesa,106
2018,,Odesa,113
2019,,Odesa,61
2020,,Odesa,71
2015,,Poltava,8
2016,,Poltava,27
2017,,Poltava,46
2018,,Poltava,54
2019,,Poltava,36
2020,,Poltava,43
2015,,Rivne,5
2016,,Rivne,28
2017,,Rivne,44
2018,,Rivne,51
2019,,Rivne,48
2020,,Rivne,56
2015,,Sumy,7
2016,,Sumy,26
2017,,Sumy,44
2018,,Sumy,51
2019,,Sumy,47
2020,,Sumy,51
2015,,Ternopil,8
2016,,Ternopil,25
2017,,Ternopil,42
2018,,Ternopil,49
2019,,Ternopil,47
2020,,Ternopil,53
2015,,Kharkiv,8
2016,,Kharkiv,35
2017,,Kharkiv,51
2018,,Kharkiv,59
2019,,Kharkiv,39
2020,,Kharkiv,41
2015,,Kherson,8
2016,,Kherson,27
2017,,Kherson,46
2018,,Kherson,52
2019,,Kherson,45
2020,,Kherson,54
2015,,Khmelnytskiy,7
2016,,Khmelnytskiy,27
2017,,Khmelnytskiy,45
2018,,Khmelnytskiy,52
2019,,Khmelnytskiy,47
2020,,Khmelnytskiy,52
2015,,Cherkasy,7
2016,,Cherkasy,39
2017,,Cherkasy,55
2018,,Cherkasy,57
2019,,Cherkasy,33
2020,,Cherkasy,41
2015,,Chernivtsi,6
2016,,Chernivtsi,23
2017,,Chernivtsi,40
2018,,Chernivtsi,47
2019,,Chernivtsi,32
2020,,Chernivtsi,29
2015,,Chernihiv,8
2016,,Chernihiv,42
2017,,Chernihiv,59
2018,,Chernihiv,67
2019,,Chernihiv,30
2020,,Chernihiv,38
2015,,Kyiv city,68
2016,,Kyiv city,92
2017,,Kyiv city,106
2018,,Kyiv city,116
2019,,Kyiv city,78
2020,,Kyiv city,86
2015,urban,,
2016,urban,,55
2017,urban,,78
2018,urban,,87
2019,urban,,58
2020,urban,,61
2015,urban,Vinnytsya,
2016,urban,Vinnytsya,71
2017,urban,Vinnytsya,100
2018,urban,Vinnytsya,117
2019,urban,Vinnytsya,65
2020,urban,Vinnytsya,66
2015,urban,Volyn,
2016,urban,Volyn,60
2017,urban,Volyn,90
2018,urban,Volyn,104
2019,urban,Volyn,59
2020,urban,Volyn,61
2015,urban,Dnipropetrovsk,
2016,urban,Dnipropetrovsk,37
2017,urban,Dnipropetrovsk,57
2018,urban,Dnipropetrovsk,66
2019,urban,Dnipropetrovsk,52
2020,urban,Dnipropetrovsk,54
2015,urban,Donetsk,
2016,urban,Donetsk,29
2017,urban,Donetsk,50
2018,urban,Donetsk,47
2019,urban,Donetsk,33
2020,urban,Donetsk,39
2015,urban,Zhytomyr,
2016,urban,Zhytomyr,61
2017,urban,Zhytomyr,86
2018,urban,Zhytomyr,92
2019,urban,Zhytomyr,47
2020,urban,Zhytomyr,52
2015,urban,Zakarpattya,
2016,urban,Zakarpattya,61
2017,urban,Zakarpattya,105
2018,urban,Zakarpattya,121
2019,urban,Zakarpattya,52
2020,urban,Zakarpattya,51
2015,urban,Zaporizhya,
2016,urban,Zaporizhya,44
2017,urban,Zaporizhya,65
2018,urban,Zaporizhya,64
2019,urban,Zaporizhya,59
2020,urban,Zaporizhya,65
2015,urban,Ivano-Frankivsk,
2016,urban,Ivano-Frankivsk,50
2017,urban,Ivano-Frankivsk,89
2018,urban,Ivano-Frankivsk,103
2019,urban,Ivano-Frankivsk,68
2020,urban,Ivano-Frankivsk,76
2015,urban,Kyiv,
2016,urban,Kyiv,65
2017,urban,Kyiv,93
2018,urban,Kyiv,109
2019,urban,Kyiv,76
2020,urban,Kyiv,77
2015,urban,Kirovohrad,
2016,urban,Kirovohrad,36
2017,urban,Kirovohrad,66
2018,urban,Kirovohrad,77
2019,urban,Kirovohrad,41
2020,urban,Kirovohrad,44
2015,urban,Luhansk,
2016,urban,Luhansk,24
2017,urban,Luhansk,44
2018,urban,Luhansk,49
2019,urban,Luhansk,30
2020,urban,Luhansk,36
2015,urban,Lviv,
2016,urban,Lviv,68
2017,urban,Lviv,87
2018,urban,Lviv,103
2019,urban,Lviv,67
2020,urban,Lviv,73
2015,urban,Mykolayiv,
2016,urban,Mykolayiv,64
