Year,Age,Gender,Value
2015,,,
2016,,,
2017,,,51.0
2018,,,50.0
2019,,,57.0
2020,,,
2015,18-35 years,,
2016,18-35 years,,
2017,18-35 years,,50.0
2018,18-35 years,,50.0
2019,18-35 years,,57.0
2020,18-35 years,,
2015,36-60 years,,
2016,36-60 years,,
2017,36-60 years,,50.0
2018,36-60 years,,50.0
2019,36-60 years,,57.0
2020,36-60 years,,
2015,over 61 years,,
2016,over 61 years,,
2017,over 61 years,,53.0
2018,over 61 years,,51.0
2019,over 61 years,,58.0
2020,over 61 years,,
2015,,male,
2016,,male,
2017,,male,50.0
2018,,male,50.0
2019,,male,58.0
2020,,male,
2015,,female,
2016,,female,
2017,,female,51.0
2018,,female,50.0
2019,,female,57.0
2020,,female,
