Year,Сomponent of the index,Region,Age,Gender,Value
2017,social cohesion and sense of ownership,Donetsk,18-35 years,,
2018,social cohesion and sense of ownership,Donetsk,18-35 years,,
2019,social cohesion and sense of ownership,Donetsk,18-35 years,,
2017,social cohesion and sense of ownership,Donetsk,36-60 years,,6.7
2018,social cohesion and sense of ownership,Donetsk,36-60 years,,
2019,social cohesion and sense of ownership,Donetsk,36-60 years,,
2017,social cohesion and sense of ownership,Donetsk,over 61 years,,7.0
2018,social cohesion and sense of ownership,Donetsk,over 61 years,,
2019,social cohesion and sense of ownership,Donetsk,over 61 years,,
2017,social cohesion and sense of ownership,Donetsk,,males,6.7
2018,social cohesion and sense of ownership,Donetsk,,males,
2019,social cohesion and sense of ownership,Donetsk,,males,
2017,social cohesion and sense of ownership,Donetsk,,females,6.8
2018,social cohesion and sense of ownership,Donetsk,,females,
2019,social cohesion and sense of ownership,Donetsk,,females,
2017,social cohesion and sense of ownership,Luhansk,18-35 years,,6.4
2018,social cohesion and sense of ownership,Luhansk,18-35 years,,
2019,social cohesion and sense of ownership,Luhansk,18-35 years,,
2017,social cohesion and sense of ownership,Luhansk,36-60 years,,6.7
2018,social cohesion and sense of ownership,Luhansk,36-60 years,,
2019,social cohesion and sense of ownership,Luhansk,36-60 years,,
2017,social cohesion and sense of ownership,Luhansk,over 61 years,,6.9
2018,social cohesion and sense of ownership,Luhansk,over 61 years,,
2019,social cohesion and sense of ownership,Luhansk,over 61 years,,
2017,social cohesion and sense of ownership,Luhansk,,males,6.7
2018,social cohesion and sense of ownership,Luhansk,,males,
2019,social cohesion and sense of ownership,Luhansk,,males,
2017,social cohesion and sense of ownership,Luhansk,,females,6.7
2018,social cohesion and sense of ownership,Luhansk,,females,
2019,social cohesion and sense of ownership,Luhansk,,females,
2017,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,6.4
2018,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,6.6
2018,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,over 61 years,,7.0
2018,social cohesion and sense of ownership,Dnipropetrovsk,over 61 years,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,over 61 years,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,,males,6.6
2018,social cohesion and sense of ownership,Dnipropetrovsk,,males,
2019,social cohesion and sense of ownership,Dnipropetrovsk,,males,
2017,social cohesion and sense of ownership,Dnipropetrovsk,,females,6.6
2018,social cohesion and sense of ownership,Dnipropetrovsk,,females,
2019,social cohesion and sense of ownership,Dnipropetrovsk,,females,
2017,social cohesion and sense of ownership,Zaporizhya,18-35 years,,6.3
2018,social cohesion and sense of ownership,Zaporizhya,18-35 years,,
2019,social cohesion and sense of ownership,Zaporizhya,18-35 years,,
2017,social cohesion and sense of ownership,Zaporizhya,36-60 years,,6.5
2018,social cohesion and sense of ownership,Zaporizhya,36-60 years,,
2019,social cohesion and sense of ownership,Zaporizhya,36-60 years,,
2017,social cohesion and sense of ownership,Zaporizhya,over 61 years,,6.8
2018,social cohesion and sense of ownership,Zaporizhya,over 61 years,,
2019,social cohesion and sense of ownership,Zaporizhya,over 61 years,,
2017,social cohesion and sense of ownership,Zaporizhya,,males,6.4
2018,social cohesion and sense of ownership,Zaporizhya,,males,
2019,social cohesion and sense of ownership,Zaporizhya,,males,
2017,social cohesion and sense of ownership,Zaporizhya,,females,6.6
2018,social cohesion and sense of ownership,Zaporizhya,,females,
2019,social cohesion and sense of ownership,Zaporizhya,,females,
2017,social cohesion and sense of ownership,Kharkiv,18-35 years,,6.4
2018,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2019,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2017,social cohesion and sense of ownership,Kharkiv,36-60 years,,6.6
2018,social cohesion and sense of ownership,Kharkiv,36-60 years,,
2019,social cohesion and sense of ownership,Kharkiv,36-60 years,,
2017,social cohesion and sense of ownership,Kharkiv,over 61 years,,6.7
2018,social cohesion and sense of ownership,Kharkiv,over 61 years,,
2019,social cohesion and sense of ownership,Kharkiv,over 61 years,,
2017,social cohesion and sense of ownership,Kharkiv,,males,6.5
2018,social cohesion and sense of ownership,Kharkiv,,males,
2019,social cohesion and sense of ownership,Kharkiv,,males,
2017,social cohesion and sense of ownership,Kharkiv,,females,6.7
2018,social cohesion and sense of ownership,Kharkiv,,females,
2019,social cohesion and sense of ownership,Kharkiv,,females,
2017,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2018,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2019,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2017,tolerance and socially responsible citizenship,Donetsk,36-60 years,,5.0
2018,tolerance and socially responsible citizenship,Donetsk,36-60 years,,
2019,tolerance and socially responsible citizenship,Donetsk,36-60 years,,
2017,tolerance and socially responsible citizenship,Donetsk,over 61 years,,4.8
2018,tolerance and socially responsible citizenship,Donetsk,over 61 years,,
2019,tolerance and socially responsible citizenship,Donetsk,over 61 years,,
2017,tolerance and socially responsible citizenship,Donetsk,,males,4.9
2018,tolerance and socially responsible citizenship,Donetsk,,males,
2019,tolerance and socially responsible citizenship,Donetsk,,males,
2017,tolerance and socially responsible citizenship,Donetsk,,females,5.0
2018,tolerance and socially responsible citizenship,Donetsk,,females,
2019,tolerance and socially responsible citizenship,Donetsk,,females,
2017,tolerance and socially responsible citizenship,Luhansk,18-35 years,,4.9
2018,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2019,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2017,tolerance and socially responsible citizenship,Luhansk,36-60 years,,4.9
2018,tolerance and socially responsible citizenship,Luhansk,36-60 years,,
2019,tolerance and socially responsible citizenship,Luhansk,36-60 years,,
2017,tolerance and socially responsible citizenship,Luhansk,over 61 years,,4.6
2018,tolerance and socially responsible citizenship,Luhansk,over 61 years,,
2019,tolerance and socially responsible citizenship,Luhansk,over 61 years,,
2017,tolerance and socially responsible citizenship,Luhansk,,males,4.7
2018,tolerance and socially responsible citizenship,Luhansk,,males,
2019,tolerance and socially responsible citizenship,Luhansk,,males,
2017,tolerance and socially responsible citizenship,Luhansk,,females,4.9
2018,tolerance and socially responsible citizenship,Luhansk,,females,
2019,tolerance and socially responsible citizenship,Luhansk,,females,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,4.8
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,4.8
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,over 61 years,,4.7
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,over 61 years,,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,over 61 years,,
