Year,Farm caregory,Products,Value
2015,Farms of all categories,agricultural products,95.2
2016,Farms of all categories,agricultural products,106.3
2017,Farms of all categories,agricultural products,97.8
2018,Farms of all categories,agricultural products,108.2
2019,Farms of all categories,agricultural products,101.4
2020,Farms of all categories,agricultural products,89.9
2021,Farms of all categories,agricultural products,116.4
2015,Farms of all categories,crop products,94.8
2016,Farms of all categories,crop products,109.1
2017,Farms of all categories,crop products,97.1
2018,Farms of all categories,crop products,110.2
2019,Farms of all categories,crop products,101.8
2020,Farms of all categories,crop products,87.9
2021,Farms of all categories,crop products,122.6
2015,Farms of all categories,livestock products,96.4
2016,Farms of all categories,livestock products,97.3
2017,Farms of all categories,livestock products,100.2
2018,Farms of all categories,livestock products,101.2
2019,Farms of all categories,livestock products,100.2
2020,Farms of all categories,livestock products,97.5
2021,Farms of all categories,livestock products,95.4
2015,Enterprises,agricultural products,94.8
2016,Enterprises,agricultural products,109.7
2017,Enterprises,agricultural products,97.0
2018,Enterprises,agricultural products,112.0
2019,Enterprises,agricultural products,102.7
2020,Enterprises,agricultural products,88.0
2021,Enterprises,agricultural products,122.3
2015,Enterprises,crop products,94.5
2016,Enterprises,crop products,112.4
2017,Enterprises,crop products,96.2
2018,Enterprises,crop products,113.6
2019,Enterprises,crop products,102.5
2020,Enterprises,crop products,85.8
2021,Enterprises,crop products,127.8
2015,Enterprises,livestock products,96.5
2016,Enterprises,livestock products,97.5
2017,Enterprises,livestock products,101.0
2018,Enterprises,livestock products,104.5
2019,Enterprises,livestock products,103.8
2020,Enterprises,livestock products,99.3
2021,Enterprises,livestock products,98.0
2015,Households,agricultural products,95.8
2016,Households,agricultural products,100.9
2017,Households,agricultural products,99.3
2018,Households,agricultural products,101.7
2019,Households,agricultural products,99.1
2020,Households,agricultural products,93.6
2021,Households,agricultural products,105.6
2015,Households,crop products,95.5
2016,Households,crop products,102.8
2017,Households,crop products,99.1
2018,Households,crop products,103.3
2019,Households,crop products,100.2
2020,Households,crop products,92.8
2021,Households,crop products,111.4
2015,Households,livestock products,96.3
2016,Households,livestock products,97.2
2017,Households,livestock products,99.6
2018,Households,livestock products,98.1
2019,Households,livestock products,96.7
2020,Households,livestock products,95.6
2021,Households,livestock products,92.4
