Year,Mode of transport,Value
2015,Road transport used by road hauliers,4.09
2016,Road transport used by road hauliers,4.64
2017,Road transport used by road hauliers,4.29
2018,Road transport used by road hauliers,4.03
2019,Road transport used by road hauliers,3.78
2020,Road transport used by road hauliers,2.33
2015,Urban electric transport,0.5
2016,Urban electric transport,0.44
2017,Urban electric transport,0.44
2018,Urban electric transport,0.51
2019,Urban electric transport,0.46
2020,Urban electric transport,0.39
