Year,Cost of training a specialist,Value
2015,"average cost per one student, UAH",27890.0
2016,"average cost per one student, UAH",29606.9
2017,"average cost per one student, UAH",33577.4
2018,"average cost per one student, UAH",40724.7
2019,"average cost per one student, UAH",52172.0
2020,"average cost per one student, UAH",61217.0
2021,"average cost per one student, UAH",73918.0
2015,"average costs per one graduated student, who studies without separation of production, UAH",15167.0
2016,"average costs per one graduated student, who studies without separation of production, UAH",16251.8
2017,"average costs per one graduated student, who studies without separation of production, UAH",18055.8
2018,"average costs per one graduated student, who studies without separation of production, UAH",30802.2
2019,"average costs per one graduated student, who studies without separation of production, UAH",31669.0
2020,"average costs per one graduated student, who studies without separation of production, UAH",36073.0
2021,"average costs per one graduated student, who studies without separation of production, UAH",44102.0
2015,"average cost per one graduated student, who studies with distance from production, UAH",39284.2
2016,"average cost per one graduated student, who studies with distance from production, UAH",42207.6
2017,"average cost per one graduated student, who studies with distance from production, UAH",51785.7
2018,"average cost per one graduated student, who studies with distance from production, UAH",72244.4
2019,"average cost per one graduated student, who studies with distance from production, UAH",92806.0
2020,"average cost per one graduated student, who studies with distance from production, UAH",55360.0
2021,"average cost per one graduated student, who studies with distance from production, UAH",70969.0
2015,"average cost per doctoral student, UAH",52445.5
2016,"average cost per doctoral student, UAH",60872.5
2017,"average cost per doctoral student, UAH",71168.2
2018,"average cost per doctoral student, UAH",121555.7
2019,"average cost per doctoral student, UAH",129893.0
2020,"average cost per doctoral student, UAH",70826.0
2021,"average cost per doctoral student, UAH",86532.0
