Year,Region,Age,Value
2015,,,27.3
2016,,,25.3
2017,,,22.4
2018,,,19.7
2019,,,16.9
2020,,,15.8
2015,Vinnytsya,,29.7
2016,Vinnytsya,,27.0
2017,Vinnytsya,,23.8
2018,Vinnytsya,,22.6
2019,Vinnytsya,,18.2
2020,Vinnytsya,,17.9
2015,Volyn,,27.1
2016,Volyn,,25.1
2017,Volyn,,21.0
2018,Volyn,,18.3
2019,Volyn,,16.7
2020,Volyn,,16.5
2015,Dnipropetrovsk,,27.3
2016,Dnipropetrovsk,,24.6
2017,Dnipropetrovsk,,21.4
2018,Dnipropetrovsk,,18.7
2019,Dnipropetrovsk,,15.6
2020,Dnipropetrovsk,,15.3
2015,Donetsk,,
2016,Donetsk,,
2017,Donetsk,,
2018,Donetsk,,
2019,Donetsk,,
2020,Donetsk,,
2015,Zhytomyr,,33.6
2016,Zhytomyr,,31.1
2017,Zhytomyr,,27.7
2018,Zhytomyr,,25.3
2019,Zhytomyr,,22.5
2020,Zhytomyr,,21.3
2015,Zakarpattya,,52.8
2016,Zakarpattya,,49.4
2017,Zakarpattya,,46.0
2018,Zakarpattya,,45.3
2019,Zakarpattya,,40.5
2020,Zakarpattya,,39.8
2015,Zaporizhya,,26.4
2016,Zaporizhya,,23.9
2017,Zaporizhya,,20.1
2018,Zaporizhya,,18.6
2019,Zaporizhya,,16.4
2020,Zaporizhya,,13.6
2015,Ivano-Frankivsk,,30.1
2016,Ivano-Frankivsk,,26.8
2017,Ivano-Frankivsk,,20.9
2018,Ivano-Frankivsk,,19.4
2019,Ivano-Frankivsk,,17.9
2020,Ivano-Frankivsk,,15.0
2015,Kyiv,,28.5
2016,Kyiv,,27.7
2017,Kyiv,,23.2
2018,Kyiv,,20.4
2019,Kyiv,,18.1
2020,Kyiv,,14.5
2015,Kirovohrad,,41.5
2016,Kirovohrad,,34.1
2017,Kirovohrad,,29.5
2018,Kirovohrad,,26.7
2019,Kirovohrad,,24.9
2020,Kirovohrad,,23.5
2015,Luhansk,,
2016,Luhansk,,
2017,Luhansk,,
2018,Luhansk,,
2019,Luhansk,,
2020,Luhansk,,
2015,Lviv,,18.7
2016,Lviv,,17.5
2017,Lviv,,15.2
2018,Lviv,,12.0
2019,Lviv,,11.4
2020,Lviv,,10.2
2015,Mykolayiv,,35.8
2016,Mykolayiv,,32.8
2017,Mykolayiv,,30.7
2018,Mykolayiv,,26.7
2019,Mykolayiv,,20.6
2020,Mykolayiv,,20.2
2015,Odesa,,30.0
2016,Odesa,,30.2
2017,Odesa,,28.1
2018,Odesa,,24.7
2019,Odesa,,19.4
2020,Odesa,,19.1
2015,Poltava,,26.0
2016,Poltava,,26.5
2017,Poltava,,21.6
2018,Poltava,,18.9
2019,Poltava,,15.3
2020,Poltava,,16.2
2015,Rivne,,26.2
2016,Rivne,,25.9
2017,Rivne,,24.2
2018,Rivne,,19.4
2019,Rivne,,15.9
2020,Rivne,,15.6
2015,Sumy,,25.0
2016,Sumy,,22.0
2017,Sumy,,19.5
2018,Sumy,,16.9
2019,Sumy,,14.9
2020,Sumy,,13.5
2015,Ternopil,,25.1
2016,Ternopil,,23.7
2017,Ternopil,,19.1
2018,Ternopil,,16.8
2019,Ternopil,,13.9
2020,Ternopil,,12.5
2015,Kharkiv,,20.8
2016,Kharkiv,,19.6
2017,Kharkiv,,17.4
2018,Kharkiv,,14.0
2019,Kharkiv,,11.8
2020,Kharkiv,,10.6
2015,Kherson,,34.4
2016,Kherson,,32.0
2017,Kherson,,29.6
2018,Kherson,,25.8
2019,Kherson,,21.3
2020,Kherson,,20.4
2015,Khmelnytskiy,,34.1
2016,Khmelnytskiy,,28.9
2017,Khmelnytskiy,,24.8
2018,Khmelnytskiy,,22.3
2019,Khmelnytskiy,,20.4
2020,Khmelnytskiy,,18.6
2015,Cherkasy,,29.9
2016,Cherkasy,,27.9
2017,Cherkasy,,25.8
2018,Cherkasy,,20.9
2019,Cherkasy,,16.7
2020,Cherkasy,,16.0
2015,Chernivtsi,,27.3
2016,Chernivtsi,,23.8
2017,Chernivtsi,,24.0
2018,Chernivtsi,,19.6
2019,Chernivtsi,,18.0
2020,Chernivtsi,,17.0
2015,Chernihiv,,25.6
2016,Chernihiv,,22.5
2017,Chernihiv,,19.1
2018,Chernihiv,,17.3
2019,Chernihiv,,15.0
2020,Chernihiv,,14.3
2015,Kyiv city,,8.2
2016,Kyiv city,,7.6
2017,Kyiv city,,7.5
2018,Kyiv city,,6.5
2019,Kyiv city,,5.7
2020,Kyiv city,,5.4
2015,,15 years,3.9
2016,,15 years,4.2
2017,,15 years,3.3
2018,,15 years,3.8
2019,,15 years,2.8
2020,,15 years,2.2
2015,,16 years,9.8
2016,,16 years,8.6
2017,,16 years,7.4
2018,,16 years,7.1
2019,,16 years,6.1
2020,,16 years,5.9
2015,,17 years,20.8
2016,,17 years,19.7
2017,,17 years,17.0
2018,,17 years,15.4
2019,,17 years,13.5
2020,,17 years,13.1
2015,,18 years,38.4
2016,,18 years,35.1
2017,,18 years,31.5
2018,,18 years,27.9
2019,,18 years,24.0
2020,,18 years,22.6
2015,,19 years,55.6
2016,,19 years,52.4
2017,,19 years,48.6
2018,,19 years,43.0
2019,,19 years,38.7
2020,,19 years,37.4
2015,,up to 20 years,27.3
2016,,up to 20 years,25.3
2017,,up to 20 years,22.4
2018,,up to 20 years,19.7
2019,,up to 20 years,16.9
2020,,up to 20 years,15.8
