Year,Group,Value
2015,,58.1
2016,,62.3
2017,,62.6
2018,,64.3
2019,,66.4
2020,,70.2
2015,"agriculture, forestry and fisheries",82.6
2016,"agriculture, forestry and fisheries",89.6
2017,"agriculture, forestry and fisheries",95.6
2018,"agriculture, forestry and fisheries",97.2
2019,"agriculture, forestry and fisheries",95.3
2020,"agriculture, forestry and fisheries",86.5
2015,industry,40.1
2016,industry,46.3
2017,industry,43.7
2018,industry,44.7
2019,industry,51.3
2020,industry,50.9
2015,construction,80.3
2016,construction,91.2
2017,construction,98.3
2018,construction,94.3
2019,construction,93.9
2020,construction,88.4
2015,wholesale and retail trade; repair of motor vehicles and motorcycles,64.5
2016,wholesale and retail trade; repair of motor vehicles and motorcycles,72.8
2017,wholesale and retail trade; repair of motor vehicles and motorcycles,70.0
2018,wholesale and retail trade; repair of motor vehicles and motorcycles,73.4
2019,wholesale and retail trade; repair of motor vehicles and motorcycles,73.3
2020,wholesale and retail trade; repair of motor vehicles and motorcycles,76.6
2015,"transport, warehousing, post and courier services",50.0
2016,"transport, warehousing, post and courier services",48.7
2017,"transport, warehousing, post and courier services",51.1
2018,"transport, warehousing, post and courier services",49.0
2019,"transport, warehousing, post and courier services",47.5
2020,"transport, warehousing, post and courier services",46.2
2015,temporary accommodation and catering,87.5
2016,temporary accommodation and catering,96.3
2017,temporary accommodation and catering,97.6
2018,temporary accommodation and catering,90.7
2019,temporary accommodation and catering,
2020,temporary accommodation and catering,
2015,information and telecommunications,59.3
2016,information and telecommunications,72.3
2017,information and telecommunications,74.2
2018,information and telecommunications,71.8
2019,information and telecommunications,71.1
2020,information and telecommunications,72.0
2015,financial and insurance activities,
2016,financial and insurance activities,98.3
2017,financial and insurance activities,100.0
2018,financial and insurance activities,
2019,financial and insurance activities,
2020,financial and insurance activities,91.3
2015,real estate transactions,96.8
2016,real estate transactions,
2017,real estate transactions,
2018,real estate transactions,95.4
2019,real estate transactions,
2020,real estate transactions,
2015,"professional, scientific and technical activities",49.2
2016,"professional, scientific and technical activities",43.9
2017,"professional, scientific and technical activities",
2018,"professional, scientific and technical activities",
2019,"professional, scientific and technical activities",
2020,"professional, scientific and technical activities",
2015,administrative and support service activities,98.1
2016,administrative and support service activities,90.8
2017,administrative and support service activities,99.9
2018,administrative and support service activities,99.4
2019,administrative and support service activities,
2020,administrative and support service activities,
2015,education,100.0
2016,education,100.0
2017,education,100.0
2018,education,100.0
2019,education,100.0
2020,education,100.0
2015,health care and social assistance,100.0
2016,health care and social assistance,100.0
2017,health care and social assistance,100.0
2018,health care and social assistance,100.0
2019,health care and social assistance,
2020,health care and social assistance,
2015,"arts, sports, entertainment and recreation",49.5
2016,"arts, sports, entertainment and recreation",
2017,"arts, sports, entertainment and recreation",
2018,"arts, sports, entertainment and recreation",
2019,"arts, sports, entertainment and recreation",
2020,"arts, sports, entertainment and recreation",
2015,provision of other services,100.0
2016,provision of other services,100.0
2017,provision of other services,100.0
2018,provision of other services,100.0
2019,provision of other services,100.0
2020,provision of other services,100.0
