Year,Age,Gender,Households,Value
2015,,,,58.3
2016,,,,58.6
2017,,,,47.3
2018,,,,43.2
2019,,,,41.3
2020,,,,47.2
2015,under 18 years old,,,66.6
2016,under 18 years old,,,65.5
2017,under 18 years old,,,56.7
2018,under 18 years old,,,51.1
2019,under 18 years old,,,47.8
2020,under 18 years old,,,53.0
2015,18-34 years,,,59.4
2016,18-34 years,,,57.9
2017,18-34 years,,,47.4
2018,18-34 years,,,44.3
2019,18-34 years,,,40.1
2020,18-34 years,,,44.7
2015,35-59 years,,,53.9
2016,35-59 years,,,55.2
2017,35-59 years,,,42.0
2018,35-59 years,,,38.1
2019,35-59 years,,,36.6
2020,35-59 years,,,43.8
2015,over 60 years,,,57.0
2016,over 60 years,,,58.9
2017,over 60 years,,,47.6
2018,over 60 years,,,43.5
2019,over 60 years,,,44.4
2020,over 60 years,,,50.6
2015,,males,,58.0
2016,,males,,58.5
2017,,males,,47.3
2018,,males,,42.4
2019,,males,,41.5
2020,,males,,46.2
2015,,females,,58.6
2016,,females,,58.6
2017,,females,,47.3
2018,,females,,43.9
2019,,females,,41.0
2020,,females,,48.0
2015,,,households with children,66.5
2016,,,households with children,65.2
2017,,,households with children,55.1
2018,,,households with children,49.9
2019,,,households with children,47.3
2020,,,households with children,53.6
2015,,,households without children,48.8
2016,,,households without children,50.9
2017,,,households without children,38.1
2018,,,households without children,35.4
2019,,,households without children,34.3
2020,,,households without children,39.7
