Year,Resource intensity of GDP,Value
2015,energy intensity,100.0
2016,energy intensity,102.3
2017,energy intensity,94.7
2018,energy intensity,95.3
2019,energy intensity,88.2
2020,energy intensity,
2015,material intensity,100.0
2016,material intensity,100.0
2017,material intensity,98.2
2018,material intensity,97.2
2019,material intensity,100.5
2020,material intensity,
2015,carbon intensity,100.0
2016,carbon intensity,105.8
2017,carbon intensity,85.1
2018,carbon intensity,83.8
2019,carbon intensity,77.9
2020,carbon intensity,
2015,water intensity,100.0
2016,water intensity,98.2
2017,water intensity,91.6
2018,water intensity,95.2
2019,water intensity,91.7
2020,water intensity,
2015,waste intensity,100.0
2016,waste intensity,92.5
2017,waste intensity,111.6
2018,waste intensity,104.0
2019,waste intensity,126.2
2020,waste intensity,
