Year,Article of the Criminal Code of Ukraine,Group,Unit,Value
2015,"total number of victims of crimes, art. of CCU",all,Victims of crimes (per 100 thousand persons),965.12
2016,"total number of victims of crimes, art. of CCU",all,Victims of crimes (per 100 thousand persons),1044.08
2017,"total number of victims of crimes, art. of CCU",all,Victims of crimes (per 100 thousand persons),882.92
2018,"total number of victims of crimes, art. of CCU",all,Victims of crimes (per 100 thousand persons),817.92
2019,"total number of victims of crimes, art. of CCU",all,Victims of crimes (per 100 thousand persons),720.23
2020,"total number of victims of crimes, art. of CCU",all,Victims of crimes (per 100 thousand persons),564.62
2015,"total number of victims of crimes, art. of CCU",all,Victims of crimes (total),412689.0
2016,"total number of victims of crimes, art. of CCU",all,Victims of crimes (total),444617.0
2017,"total number of victims of crimes, art. of CCU",all,Victims of crimes (total),374238.0
2018,"total number of victims of crimes, art. of CCU",all,Victims of crimes (total),344780.0
2019,"total number of victims of crimes, art. of CCU",all,Victims of crimes (total),301792.0
2020,"total number of victims of crimes, art. of CCU",all,Victims of crimes (total),234816.0
2015,"total number of victims of crimes, art. of CCU",females,Victims of crimes (total),156190.0
2016,"total number of victims of crimes, art. of CCU",females,Victims of crimes (total),167099.0
2017,"total number of victims of crimes, art. of CCU",females,Victims of crimes (total),133633.0
2018,"total number of victims of crimes, art. of CCU",females,Victims of crimes (total),118444.0
2019,"total number of victims of crimes, art. of CCU",females,Victims of crimes (total),102448.0
2020,"total number of victims of crimes, art. of CCU",females,Victims of crimes (total),74885.0
2015,"total number of victims of crimes, art. of CCU",adolescents,Victims of crimes (total),4809.0
2016,"total number of victims of crimes, art. of CCU",adolescents,Victims of crimes (total),4838.0
2017,"total number of victims of crimes, art. of CCU",adolescents,Victims of crimes (total),4095.0
2018,"total number of victims of crimes, art. of CCU",adolescents,Victims of crimes (total),3701.0
2019,"total number of victims of crimes, art. of CCU",adolescents,Victims of crimes (total),3249.0
2020,"total number of victims of crimes, art. of CCU",adolescents,Victims of crimes (total),3202.0
