Year,Сomponent of the index,Region,Age,Gender,Value
2017,social cohesion and sense of ownership,Donetsk,18-35 years,,
2018,social cohesion and sense of ownership,Donetsk,18-35 years,,
2019,social cohesion and sense of ownership,Donetsk,18-35 years,,
2017,social cohesion and sense of ownership,Donetsk,36-60 years,,6.7
2018,social cohesion and sense of ownership,Donetsk,36-60 years,,
2019,social cohesion and sense of ownership,Donetsk,36-60 years,,
2017,social cohesion and sense of ownership,Donetsk,61 years and older,,7.0
2018,social cohesion and sense of ownership,Donetsk,61 years and older,,
2019,social cohesion and sense of ownership,Donetsk,61 years and older,,
2017,social cohesion and sense of ownership,Donetsk,,males,6.7
2018,social cohesion and sense of ownership,Donetsk,,males,
2019,social cohesion and sense of ownership,Donetsk,,males,
2017,social cohesion and sense of ownership,Donetsk,,females,6.8
2018,social cohesion and sense of ownership,Donetsk,,females,
2019,social cohesion and sense of ownership,Donetsk,,females,
2017,social cohesion and sense of ownership,Luhansk,18-35 years,,6.4
2018,social cohesion and sense of ownership,Luhansk,18-35 years,,
2019,social cohesion and sense of ownership,Luhansk,18-35 years,,
2017,social cohesion and sense of ownership,Luhansk,36-60 years,,6.7
2018,social cohesion and sense of ownership,Luhansk,36-60 years,,
2019,social cohesion and sense of ownership,Luhansk,36-60 years,,
2017,social cohesion and sense of ownership,Luhansk,61 years and older,,6.9
2018,social cohesion and sense of ownership,Luhansk,61 years and older,,
2019,social cohesion and sense of ownership,Luhansk,61 years and older,,
2017,social cohesion and sense of ownership,Luhansk,,males,6.7
2018,social cohesion and sense of ownership,Luhansk,,males,
2019,social cohesion and sense of ownership,Luhansk,,males,
2017,social cohesion and sense of ownership,Luhansk,,females,6.7
2018,social cohesion and sense of ownership,Luhansk,,females,
2019,social cohesion and sense of ownership,Luhansk,,females,
2017,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,6.4
2018,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,6.6
2018,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,61 years and older,,7.0
2018,social cohesion and sense of ownership,Dnipropetrovsk,61 years and older,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,61 years and older,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,,males,6.6
2018,social cohesion and sense of ownership,Dnipropetrovsk,,males,
2019,social cohesion and sense of ownership,Dnipropetrovsk,,males,
2017,social cohesion and sense of ownership,Dnipropetrovsk,,females,6.6
2018,social cohesion and sense of ownership,Dnipropetrovsk,,females,
2019,social cohesion and sense of ownership,Dnipropetrovsk,,females,
2017,social cohesion and sense of ownership,17_reg_Zaporizhya,18-35 years,,6.3
2018,social cohesion and sense of ownership,17_reg_Zaporizhya,18-35 years,,
2019,social cohesion and sense of ownership,17_reg_Zaporizhya,18-35 years,,
2017,social cohesion and sense of ownership,17_reg_Zaporizhya,36-60 years,,6.5
2018,social cohesion and sense of ownership,17_reg_Zaporizhya,36-60 years,,
2019,social cohesion and sense of ownership,17_reg_Zaporizhya,36-60 years,,
2017,social cohesion and sense of ownership,17_reg_Zaporizhya,61 years and older,,6.8
2018,social cohesion and sense of ownership,17_reg_Zaporizhya,61 years and older,,
2019,social cohesion and sense of ownership,17_reg_Zaporizhya,61 years and older,,
2017,social cohesion and sense of ownership,17_reg_Zaporizhya,,males,6.4
2018,social cohesion and sense of ownership,17_reg_Zaporizhya,,males,
2019,social cohesion and sense of ownership,17_reg_Zaporizhya,,males,
2017,social cohesion and sense of ownership,17_reg_Zaporizhya,,females,6.6
2018,social cohesion and sense of ownership,17_reg_Zaporizhya,,females,
2019,social cohesion and sense of ownership,17_reg_Zaporizhya,,females,
2017,social cohesion and sense of ownership,Kharkiv,18-35 years,,6.4
2018,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2019,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2017,social cohesion and sense of ownership,Kharkiv,36-60 years,,6.6
2018,social cohesion and sense of ownership,Kharkiv,36-60 years,,
2019,social cohesion and sense of ownership,Kharkiv,36-60 years,,
2017,social cohesion and sense of ownership,Kharkiv,61 years and older,,6.7
2018,social cohesion and sense of ownership,Kharkiv,61 years and older,,
2019,social cohesion and sense of ownership,Kharkiv,61 years and older,,
2017,social cohesion and sense of ownership,Kharkiv,,males,6.5
2018,social cohesion and sense of ownership,Kharkiv,,males,
2019,social cohesion and sense of ownership,Kharkiv,,males,
2017,social cohesion and sense of ownership,Kharkiv,,females,6.7
2018,social cohesion and sense of ownership,Kharkiv,,females,
2019,social cohesion and sense of ownership,Kharkiv,,females,
2017,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2018,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2019,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2017,tolerance and socially responsible citizenship,Donetsk,36-60 years,,5.0
2018,tolerance and socially responsible citizenship,Donetsk,36-60 years,,
2019,tolerance and socially responsible citizenship,Donetsk,36-60 years,,
2017,tolerance and socially responsible citizenship,Donetsk,61 years and older,,4.8
2018,tolerance and socially responsible citizenship,Donetsk,61 years and older,,
2019,tolerance and socially responsible citizenship,Donetsk,61 years and older,,
2017,tolerance and socially responsible citizenship,Donetsk,,males,4.9
2018,tolerance and socially responsible citizenship,Donetsk,,males,
2019,tolerance and socially responsible citizenship,Donetsk,,males,
2017,tolerance and socially responsible citizenship,Donetsk,,females,5.0
2018,tolerance and socially responsible citizenship,Donetsk,,females,
2019,tolerance and socially responsible citizenship,Donetsk,,females,
2017,tolerance and socially responsible citizenship,Luhansk,18-35 years,,4.9
2018,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2019,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2017,tolerance and socially responsible citizenship,Luhansk,36-60 years,,4.9
2018,tolerance and socially responsible citizenship,Luhansk,36-60 years,,
2019,tolerance and socially responsible citizenship,Luhansk,36-60 years,,
2017,tolerance and socially responsible citizenship,Luhansk,61 years and older,,4.6
2018,tolerance and socially responsible citizenship,Luhansk,61 years and older,,
2019,tolerance and socially responsible citizenship,Luhansk,61 years and older,,
2017,tolerance and socially responsible citizenship,Luhansk,,males,4.7
2018,tolerance and socially responsible citizenship,Luhansk,,males,
2019,tolerance and socially responsible citizenship,Luhansk,,males,
2017,tolerance and socially responsible citizenship,Luhansk,,females,4.9
2018,tolerance and socially responsible citizenship,Luhansk,,females,
2019,tolerance and socially responsible citizenship,Luhansk,,females,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,4.8
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,4.8
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,61 years and older,,4.7
