Year,Levels of academic achievement,Settlement,Gender,Value
2015,"1st_level (basic, 0-3 points)","settlement, village",,56
2016,"1st_level (basic, 0-3 points)","settlement, village",,62
2017,"1st_level (basic, 0-3 points)","settlement, village",,65
2018,"1st_level (basic, 0-3 points)","settlement, village",,62
2019,"1st_level (basic, 0-3 points)","settlement, village",,59
2020,"1st_level (basic, 0-3 points)","settlement, village",,50
2021,"1st_level (basic, 0-3 points)","settlement, village",,43
2015,"1st_level (basic, 0-3 points)",urban settlement,,11
2016,"1st_level (basic, 0-3 points)",urban settlement,,11
2017,"1st_level (basic, 0-3 points)",urban settlement,,10
2018,"1st_level (basic, 0-3 points)",urban settlement,,11
2019,"1st_level (basic, 0-3 points)",urban settlement,,11
2020,"1st_level (basic, 0-3 points)",urban settlement,,12
2021,"1st_level (basic, 0-3 points)",urban settlement,,13
2015,"1st_level (basic, 0-3 points)",city,,33
2016,"1st_level (basic, 0-3 points)",city,,28
2017,"1st_level (basic, 0-3 points)",city,,25
2018,"1st_level (basic, 0-3 points)",city,,28
2019,"1st_level (basic, 0-3 points)",city,,30
2020,"1st_level (basic, 0-3 points)",city,,37
2021,"1st_level (basic, 0-3 points)",city,,45
2015,"1st_level (basic, 0-3 points)",,females,32
2016,"1st_level (basic, 0-3 points)",,females,30
2017,"1st_level (basic, 0-3 points)",,females,27
2018,"1st_level (basic, 0-3 points)",,females,29
2019,"1st_level (basic, 0-3 points)",,females,29
2020,"1st_level (basic, 0-3 points)",,females,31
2021,"1st_level (basic, 0-3 points)",,females,35
2015,"1st_level (basic, 0-3 points)",,males,68
2016,"1st_level (basic, 0-3 points)",,males,70
2017,"1st_level (basic, 0-3 points)",,males,73
2018,"1st_level (basic, 0-3 points)",,males,71
2019,"1st_level (basic, 0-3 points)",,males,71
2020,"1st_level (basic, 0-3 points)",,males,69
2021,"1st_level (basic, 0-3 points)",,males,65
2015,"2nd level (intermediate, 4-6 points)","settlement, village",,35
2016,"2nd level (intermediate, 4-6 points)","settlement, village",,41
2017,"2nd level (intermediate, 4-6 points)","settlement, village",,41
2018,"2nd level (intermediate, 4-6 points)","settlement, village",,38
2019,"2nd level (intermediate, 4-6 points)","settlement, village",,35
2020,"2nd level (intermediate, 4-6 points)","settlement, village",,34
2021,"2nd level (intermediate, 4-6 points)","settlement, village",,29
2015,"2nd level (intermediate, 4-6 points)",urban settlement,,10
2016,"2nd level (intermediate, 4-6 points)",urban settlement,,11
2017,"2nd level (intermediate, 4-6 points)",urban settlement,,10
2018,"2nd level (intermediate, 4-6 points)",urban settlement,,11
2019,"2nd level (intermediate, 4-6 points)",urban settlement,,10
2020,"2nd level (intermediate, 4-6 points)",urban settlement,,11
2021,"2nd level (intermediate, 4-6 points)",urban settlement,,11
2015,"2nd level (intermediate, 4-6 points)",city,,54
2016,"2nd level (intermediate, 4-6 points)",city,,48
2017,"2nd level (intermediate, 4-6 points)",city,,48
2018,"2nd level (intermediate, 4-6 points)",city,,51
2019,"2nd level (intermediate, 4-6 points)",city,,54
2020,"2nd level (intermediate, 4-6 points)",city,,55
2021,"2nd level (intermediate, 4-6 points)",city,,60
2015,"2nd level (intermediate, 4-6 points)",,females,48
2016,"2nd level (intermediate, 4-6 points)",,females,46
2017,"2nd level (intermediate, 4-6 points)",,females,43
2018,"2nd level (intermediate, 4-6 points)",,females,44
2019,"2nd level (intermediate, 4-6 points)",,females,45
2020,"2nd level (intermediate, 4-6 points)",,females,44
2021,"2nd level (intermediate, 4-6 points)",,females,46
2015,"2nd level (intermediate, 4-6 points)",,males,52
2016,"2nd level (intermediate, 4-6 points)",,males,54
2017,"2nd level (intermediate, 4-6 points)",,males,57
2018,"2nd level (intermediate, 4-6 points)",,males,56
2019,"2nd level (intermediate, 4-6 points)",,males,55
2020,"2nd level (intermediate, 4-6 points)",,males,56
2021,"2nd level (intermediate, 4-6 points)",,males,54
2015,"3rd level (adequate, 7-9 points)","settlement, village",,19
2016,"3rd level (adequate, 7-9 points)","settlement, village",,24
2017,"3rd level (adequate, 7-9 points)","settlement, village",,22
2018,"3rd level (adequate, 7-9 points)","settlement, village",,20
2019,"3rd level (adequate, 7-9 points)","settlement, village",,19
2020,"3rd level (adequate, 7-9 points)","settlement, village",,20
2021,"3rd level (adequate, 7-9 points)","settlement, village",,18
2015,"3rd level (adequate, 7-9 points)",urban settlement,,9
2016,"3rd level (adequate, 7-9 points)",urban settlement,,10
2017,"3rd level (adequate, 7-9 points)",urban settlement,,9
2018,"3rd level (adequate, 7-9 points)",urban settlement,,9
2019,"3rd level (adequate, 7-9 points)",urban settlement,,9
2020,"3rd level (adequate, 7-9 points)",urban settlement,,9
2021,"3rd level (adequate, 7-9 points)",urban settlement,,9
2015,"3rd level (adequate, 7-9 points)",city,,71
2016,"3rd level (adequate, 7-9 points)",city,,67
2017,"3rd level (adequate, 7-9 points)",city,,69
2018,"3rd level (adequate, 7-9 points)",city,,71
2019,"3rd level (adequate, 7-9 points)",city,,72
2020,"3rd level (adequate, 7-9 points)",city,,71
2021,"3rd level (adequate, 7-9 points)",city,,73
2015,"3rd level (adequate, 7-9 points)",,females,60
2016,"3rd level (adequate, 7-9 points)",,females,56
2017,"3rd level (adequate, 7-9 points)",,females,56
2018,"3rd level (adequate, 7-9 points)",,females,56
2019,"3rd level (adequate, 7-9 points)",,females,58
2020,"3rd level (adequate, 7-9 points)",,females,55
2021,"3rd level (adequate, 7-9 points)",,females,57
2015,"3rd level (adequate, 7-9 points)",,males,40
2016,"3rd level (adequate, 7-9 points)",,males,44
2017,"3rd level (adequate, 7-9 points)",,males,44
2018,"3rd level (adequate, 7-9 points)",,males,44
2019,"3rd level (adequate, 7-9 points)",,males,42
2020,"3rd level (adequate, 7-9 points)",,males,45
2021,"3rd level (adequate, 7-9 points)",,males,43
2015,"4th level (high, 10-12 points)","settlement, village",,10
