Year,Region,Value
2015,,100
2016,,107
2017,,98
2018,,109
2019,,113
2020,,101
2021,,103
2022,,126
2015,Vinnytsya,100
2016,Vinnytsya,93
2017,Vinnytsya,100
2018,Vinnytsya,60
2019,Vinnytsya,140
2020,Vinnytsya,80
2021,Vinnytsya,87
2022,Vinnytsya,167
2015,Volyn,100
2016,Volyn,131
2017,Volyn,62
2018,Volyn,77
2019,Volyn,162
2020,Volyn,108
2021,Volyn,54
2022,Volyn,62
2015,Dnipropetrovsk,100
2016,Dnipropetrovsk,100
2017,Dnipropetrovsk,83
2018,Dnipropetrovsk,100
2019,Dnipropetrovsk,89
2020,Dnipropetrovsk,57
2021,Dnipropetrovsk,66
2022,Dnipropetrovsk,130
2015,Donetsk,100
2016,Donetsk,81
2017,Donetsk,86
2018,Donetsk,103
2019,Donetsk,58
2020,Donetsk,67
2021,Donetsk,69
2022,Donetsk,75
2015,Zhytomyr,100
2016,Zhytomyr,138
2017,Zhytomyr,100
2018,Zhytomyr,188
2019,Zhytomyr,175
2020,Zhytomyr,175
2021,Zhytomyr,213
2022,Zhytomyr,188
2015,Zakarpattya,100
2016,Zakarpattya,150
2017,Zakarpattya,225
2018,Zakarpattya,100
2019,Zakarpattya,100
2020,Zakarpattya,250
2021,Zakarpattya,150
2022,Zakarpattya,175
2015,Zaporizhzhya,100
2016,Zaporizhzhya,108
2017,Zaporizhzhya,117
2018,Zaporizhzhya,117
2019,Zaporizhzhya,100
2020,Zaporizhzhya,142
2021,Zaporizhzhya,158
2022,Zaporizhzhya,133
2015,Ivano-Frankivsk,100
2016,Ivano-Frankivsk,110
2017,Ivano-Frankivsk,100
2018,Ivano-Frankivsk,130
2019,Ivano-Frankivsk,180
2020,Ivano-Frankivsk,150
2021,Ivano-Frankivsk,230
2022,Ivano-Frankivsk,60
2015,Kyiv,100
2016,Kyiv,109
2017,Kyiv,87
2018,Kyiv,83
2019,Kyiv,57
2020,Kyiv,61
2021,Kyiv,96
2022,Kyiv,104
2015,Kirovohrad,100
2016,Kirovohrad,188
2017,Kirovohrad,75
2018,Kirovohrad,63
2019,Kirovohrad,113
2020,Kirovohrad,113
2021,Kirovohrad,38
2022,Kirovohrad,163
2015,Luhansk,100
2016,Luhansk,100
2017,Luhansk,11
2018,Luhansk,44
2019,Luhansk,56
2020,Luhansk,78
2021,Luhansk,44
2022,Luhansk,11
2015,Lviv,100
2016,Lviv,100
2017,Lviv,150
2018,Lviv,123
2019,Lviv,150
2020,Lviv,91
2021,Lviv,86
2022,Lviv,109
2015,Mykolayiv,100
2016,Mykolayiv,250
2017,Mykolayiv,250
2018,Mykolayiv,325
2019,Mykolayiv,450
2020,Mykolayiv,250
2021,Mykolayiv,350
2022,Mykolayiv,925
2015,Odesa,100
2016,Odesa,100
2017,Odesa,83
2018,Odesa,111
2019,Odesa,144
2020,Odesa,89
2021,Odesa,78
2022,Odesa,122
2015,Poltava,100
2016,Poltava,89
2017,Poltava,84
2018,Poltava,100
2019,Poltava,68
2020,Poltava,89
2021,Poltava,89
2022,Poltava,142
2015,Rivne,100
2016,Rivne,500
2017,Rivne,325
2018,Rivne,375
2019,Rivne,200
2020,Rivne,475
2021,Rivne,175
2022,Rivne,225
2015,Sumy,100
2016,Sumy,136
2017,Sumy,55
2018,Sumy,18
2019,Sumy,91
2020,Sumy,64
2021,Sumy,64
2022,Sumy,182
2015,Ternopil,100
2016,Ternopil,80
2017,Ternopil,80
2018,Ternopil,130
2019,Ternopil,150
2020,Ternopil,80
2021,Ternopil,120
2022,Ternopil,80
2015,Kharkiv,100
2016,Kharkiv,115
2017,Kharkiv,90
2018,Kharkiv,50
2019,Kharkiv,125
2020,Kharkiv,105
2021,Kharkiv,100
2022,Kharkiv,130
2015,Kherson,100
2016,Kherson,89
2017,Kherson,56
2018,Kherson,100
2019,Kherson,33
2020,Kherson,44
2021,Kherson,56
2022,Kherson,144
2015,Khmelnytskiy,100
2016,Khmelnytskiy,81
2017,Khmelnytskiy,75
2018,Khmelnytskiy,69
2019,Khmelnytskiy,69
2020,Khmelnytskiy,81
2021,Khmelnytskiy,50
2022,Khmelnytskiy,56
2015,Cherkasy,100
2016,Cherkasy,113
2017,Cherkasy,200
2018,Cherkasy,150
2019,Cherkasy,138
2020,Cherkasy,100
2021,Cherkasy,188
2022,Cherkasy,175
2015,Chernivtsi,100
2016,Chernivtsi,100
2017,Chernivtsi,50
2018,Chernivtsi,50
2019,Chernivtsi,75
2020,Chernivtsi,88
2021,Chernivtsi,50
2022,Chernivtsi,75
2015,Chernihiv,100
2016,Chernihiv,108
2017,Chernihiv,67
2018,Chernihiv,100
2019,Chernihiv,92
2020,Chernihiv,92
2021,Chernihiv,125
2022,Chernihiv,108
2015,the city of Kyiv,100
2016,the city of Kyiv,66
2017,the city of Kyiv,141
2018,the city of Kyiv,224
2019,the city of Kyiv,179
2020,the city of Kyiv,186
2021,the city of Kyiv,203
2022,the city of Kyiv,145
