Year,Type of residence,Region,Value
2015,,,14.0
2016,,,39.0
2017,,,56.0
2018,,,62.0
2019,,,46.0
2020,,,52.0
2015,,Vinnytsya,7.0
2016,,Vinnytsya,38.0
2017,,Vinnytsya,53.0
2018,,Vinnytsya,62.0
2019,,Vinnytsya,38.0
2020,,Vinnytsya,43.0
2015,,Volyn,7.0
2016,,Volyn,32.0
2017,,Volyn,48.0
2018,,Volyn,56.0
2019,,Volyn,51.0
2020,,Volyn,54.0
2015,,Dnipropetrovsk,10.0
2016,,Dnipropetrovsk,31.0
2017,,Dnipropetrovsk,48.0
2018,,Dnipropetrovsk,56.0
2019,,Dnipropetrovsk,48.0
2020,,Dnipropetrovsk,51.0
2015,,Donetsk,5.0
2016,,Donetsk,27.0
2017,,Donetsk,46.0
2018,,Donetsk,43.0
2019,,Donetsk,31.0
2020,,Donetsk,38.0
2015,,Zhytomyr,5.0
2016,,Zhytomyr,37.0
2017,,Zhytomyr,52.0
2018,,Zhytomyr,57.0
2019,,Zhytomyr,32.0
2020,,Zhytomyr,41.0
2015,,Zakarpattya,5.0
2016,,Zakarpattya,24.0
2017,,Zakarpattya,40.0
2018,,Zakarpattya,46.0
2019,,Zakarpattya,35.0
2020,,Zakarpattya,37.0
2015,,Zaporizhya,9.0
2016,,Zaporizhya,35.0
2017,,Zaporizhya,52.0
2018,,Zaporizhya,51.0
2019,,Zaporizhya,53.0
2020,,Zaporizhya,58.0
2015,,Ivano-Frankivsk,6.0
2016,,Ivano-Frankivsk,23.0
2017,,Ivano-Frankivsk,41.0
2018,,Ivano-Frankivsk,48.0
2019,,Ivano-Frankivsk,43.0
2020,,Ivano-Frankivsk,53.0
2015,,Kyiv,9.0
2016,,Kyiv,42.0
2017,,Kyiv,59.0
2018,,Kyiv,69.0
2019,,Kyiv,69.0
2020,,Kyiv,76.0
2015,,Kirovohrad,8.0
2016,,Kirovohrad,23.0
2017,,Kirovohrad,43.0
2018,,Kirovohrad,49.0
2019,,Kirovohrad,30.0
2020,,Kirovohrad,33.0
2015,,Luhansk,3.0
2016,,Luhansk,21.0
2017,,Luhansk,38.0
2018,,Luhansk,42.0
2019,,Luhansk,26.0
2020,,Luhansk,32.0
2015,,Lviv,11.0
2016,,Lviv,43.0
2017,,Lviv,56.0
2018,,Lviv,66.0
2019,,Lviv,54.0
2020,,Lviv,64.0
2015,,Mykolayiv,10.0
2016,,Mykolayiv,44.0
2017,,Mykolayiv,62.0
2018,,Mykolayiv,71.0
2019,,Mykolayiv,42.0
2020,,Mykolayiv,46.0
2015,,Odesa,56.0
2016,,Odesa,95.0
2017,,Odesa,106.0
2018,,Odesa,113.0
2019,,Odesa,61.0
2020,,Odesa,71.0
2015,,Poltava,8.0
2016,,Poltava,27.0
2017,,Poltava,46.0
2018,,Poltava,54.0
2019,,Poltava,36.0
2020,,Poltava,43.0
2015,,Rivne,5.0
2016,,Rivne,28.0
2017,,Rivne,44.0
2018,,Rivne,51.0
2019,,Rivne,48.0
2020,,Rivne,56.0
2015,,Sumy,7.0
2016,,Sumy,26.0
2017,,Sumy,44.0
2018,,Sumy,51.0
2019,,Sumy,47.0
2020,,Sumy,51.0
2015,,Ternopil,8.0
2016,,Ternopil,25.0
2017,,Ternopil,42.0
2018,,Ternopil,49.0
2019,,Ternopil,47.0
2020,,Ternopil,53.0
2015,,Kharkiv,8.0
2016,,Kharkiv,35.0
2017,,Kharkiv,51.0
2018,,Kharkiv,59.0
2019,,Kharkiv,39.0
2020,,Kharkiv,41.0
