Year,Вік,Стать,Домогосподарства,Value
2015,,,,63.0
2016,,,,70.3
2017,,,,73.6
2018,,,,72.0
2019,,,,57.4
2020,,,,55.5
2015,до 18 років,,,66.7
2016,до 18 років,,,71.8
2017,до 18 років,,,78.4
2018,до 18 років,,,75.7
2019,до 18 років,,,59.7
2020,до 18 років,,,59.2
2015,18 – 34 роки,,,63.4
2016,18 – 34 роки,,,73.4
2017,18 – 34 роки,,,74.8
2018,18 – 34 роки,,,72.7
2019,18 – 34 роки,,,57.0
2020,18 – 34 роки,,,60.3
2015,35 – 59 років,,,58.6
2016,35 – 59 років,,,71.6
2017,35 – 59 років,,,72.4
2018,35 – 59 років,,,68.8
2019,35 – 59 років,,,52.7
2020,35 – 59 років,,,44.3
2015,понад 60 років,,,77.9
2016,понад 60 років,,,71.1
2017,понад 60 років,,,77.8
2018,понад 60 років,,,76.4
2019,понад 60 років,,,68.9
2020,понад 60 років,,,64.6
2015,,чоловіки,,62.5
2016,,чоловіки,,71.5
2017,,чоловіки,,73.2
2018,,чоловіки,,71.4
2019,,чоловіки,,56.4
2020,,чоловіки,,53.8
2015,,жінки,,63.3
2016,,жінки,,71.2
2017,,жінки,,74.3
2018,,жінки,,72.4
2019,,жінки,,57.8
2020,,жінки,,56.9
2015,,,домогосподарства з дітьми,66.7
2016,,,домогосподарства з дітьми,74.4
2017,,,домогосподарства з дітьми,78.4
2018,,,домогосподарства з дітьми,75.7
2019,,,домогосподарства з дітьми,59.7
2020,,,домогосподарства з дітьми,54.7
2015,,,домогосподарства без дітей,57.2
2016,,,домогосподарства без дітей,64.3
2017,,,домогосподарства без дітей,65.5
2018,,,домогосподарства без дітей,66.1
2019,,,домогосподарства без дітей,53.7
2020,,,домогосподарства без дітей,51.4
