Year,Ресурсоємність ВВП,Value
2015,Енергоємність,100.0
2016,Енергоємність,102.3
2017,Енергоємність,94.7
2018,Енергоємність,95.3
2019,Енергоємність,88.2
2020,Енергоємність,
2015,Матеріалоємність,100.0
2016,Матеріалоємність,100.0
2017,Матеріалоємність,98.2
2018,Матеріалоємність,97.2
2019,Матеріалоємність,100.5
2020,Матеріалоємність,
2015,Вуглецевоємність,100.0
2016,Вуглецевоємність,105.8
2017,Вуглецевоємність,85.1
2018,Вуглецевоємність,83.8
2019,Вуглецевоємність,77.9
2020,Вуглецевоємність,
2015,Водоємність,100.0
2016,Водоємність,98.2
2017,Водоємність,91.6
2018,Водоємність,95.2
2019,Водоємність,91.7
2020,Водоємність,
2015,Відходоємність,100.0
2016,Відходоємність,92.5
2017,Відходоємність,111.6
2018,Відходоємність,104.0
2019,Відходоємність,126.2
2020,Відходоємність,
