Year,Обсяг викидів парникових газів,Value
2015,всього,33.9
2016,всього,35.8
2017,всього,34.3
2018,всього,36.1
2019,всього,35.2
2020,всього,
2015,"за основними типами джерел, зокрема автомобільного транспорту",27.8
2016,"за основними типами джерел, зокрема автомобільного транспорту",29.4
2017,"за основними типами джерел, зокрема автомобільного транспорту",31.3
2018,"за основними типами джерел, зокрема автомобільного транспорту",31.3
2019,"за основними типами джерел, зокрема автомобільного транспорту",33.8
2020,"за основними типами джерел, зокрема автомобільного транспорту",
