Year,Вік,Стать,Value
2015,,,38303
2016,,,219981
2017,,,393228
2018,,,400478
2019,,,404030
2020,,,354018
2015,до 18 років,,169
2016,до 18 років,,1413
2017,до 18 років,,1803
2018,до 18 років,,2051
2019,до 18 років,,1976
2020,до 18 років,,1893
2015,18 – 35 років,,5827
2016,18 – 35 років,,48456
2017,18 – 35 років,,88404
2018,18 – 35 років,,86792
2019,18 – 35 років,,70756
2020,18 – 35 років,,71945
2015,36 – 60 років,,18009
2016,36 – 60 років,,110488
2017,36 – 60 років,,196311
2018,36 – 60 років,,193433
2019,36 – 60 років,,185227
2020,36 – 60 років,,172036
2015,понад 61 рік,,14298
2016,понад 61 рік,,59624
2017,понад 61 рік,,106710
2018,понад 61 рік,,118202
2019,понад 61 рік,,146071
2020,понад 61 рік,,108144
2015,,чоловіки,15673
2016,,чоловіки,93488
2017,,чоловіки,158462
2018,,чоловіки,151787
2019,,чоловіки,152578
2020,,чоловіки,137011
2015,,жінки,22630
2016,,жінки,126493
2017,,жінки,234766
2018,,жінки,248691
2019,,жінки,251452
2020,,жінки,217007
