Year,Вік,Стать,Value
2015,,,
2016,,,
2017,,,51.0
2018,,,50.0
2019,,,57.0
2020,,,
2015,18 – 35 років,,
2016,18 – 35 років,,
2017,18 – 35 років,,50.0
2018,18 – 35 років,,50.0
2019,18 – 35 років,,57.0
2020,18 – 35 років,,
2015,36 – 60 років,,
2016,36 – 60 років,,
2017,36 – 60 років,,50.0
2018,36 – 60 років,,50.0
2019,36 – 60 років,,57.0
2020,36 – 60 років,,
2015,понад 61 рік,,
2016,понад 61 рік,,
2017,понад 61 рік,,53.0
2018,понад 61 рік,,51.0
2019,понад 61 рік,,58.0
2020,понад 61 рік,,
2015,,чоловіки,
2016,,чоловіки,
2017,,чоловіки,50.0
2018,,чоловіки,50.0
2019,,чоловіки,58.0
2020,,чоловіки,
2015,,жінки,
2016,,жінки,
2017,,жінки,51.0
2018,,жінки,50.0
2019,,жінки,57.0
2020,,жінки,
