Year,Категорія господарств,Продукція,Value
2015,Господарства усіх категорій,продукція сільського господарства,95.2
2016,Господарства усіх категорій,продукція сільського господарства,106.3
2017,Господарства усіх категорій,продукція сільського господарства,97.8
2018,Господарства усіх категорій,продукція сільського господарства,108.2
2019,Господарства усіх категорій,продукція сільського господарства,101.4
2020,Господарства усіх категорій,продукція сільського господарства,89.9
2015,Господарства усіх категорій,продукція рослинництва,94.8
2016,Господарства усіх категорій,продукція рослинництва,109.1
2017,Господарства усіх категорій,продукція рослинництва,97.1
2018,Господарства усіх категорій,продукція рослинництва,110.2
2019,Господарства усіх категорій,продукція рослинництва,101.8
2020,Господарства усіх категорій,продукція рослинництва,87.9
2015,Господарства усіх категорій,продукція тваринництва,96.4
2016,Господарства усіх категорій,продукція тваринництва,97.3
2017,Господарства усіх категорій,продукція тваринництва,100.2
2018,Господарства усіх категорій,продукція тваринництва,101.2
2019,Господарства усіх категорій,продукція тваринництва,100.2
2020,Господарства усіх категорій,продукція тваринництва,97.5
2015,Підприємства,продукція сільського господарства,94.8
2016,Підприємства,продукція сільського господарства,109.7
2017,Підприємства,продукція сільського господарства,97.0
2018,Підприємства,продукція сільського господарства,112.0
2019,Підприємства,продукція сільського господарства,102.7
2020,Підприємства,продукція сільського господарства,88.0
2015,Підприємства,продукція рослинництва,94.5
2016,Підприємства,продукція рослинництва,112.4
2017,Підприємства,продукція рослинництва,96.2
2018,Підприємства,продукція рослинництва,113.6
2019,Підприємства,продукція рослинництва,102.5
2020,Підприємства,продукція рослинництва,85.8
2015,Підприємства,продукція тваринництва,96.5
2016,Підприємства,продукція тваринництва,97.5
2017,Підприємства,продукція тваринництва,101.0
2018,Підприємства,продукція тваринництва,104.5
2019,Підприємства,продукція тваринництва,103.8
2020,Підприємства,продукція тваринництва,99.3
2015,Господарства населення,продукція сільського господарства,95.8
2016,Господарства населення,продукція сільського господарства,100.9
2017,Господарства населення,продукція сільського господарства,99.3
2018,Господарства населення,продукція сільського господарства,101.7
2019,Господарства населення,продукція сільського господарства,99.1
2020,Господарства населення,продукція сільського господарства,93.6
2015,Господарства населення,продукція рослинництва,95.5
2016,Господарства населення,продукція рослинництва,102.8
2017,Господарства населення,продукція рослинництва,99.1
2018,Господарства населення,продукція рослинництва,103.3
2019,Господарства населення,продукція рослинництва,100.2
2020,Господарства населення,продукція рослинництва,92.8
2015,Господарства населення,продукція тваринництва,96.3
2016,Господарства населення,продукція тваринництва,97.2
2017,Господарства населення,продукція тваринництва,99.6
2018,Господарства населення,продукція тваринництва,98.1
2019,Господарства населення,продукція тваринництва,96.7
2020,Господарства населення,продукція тваринництва,95.6
