Year,Група,Value
2015,,88.6
2016,,108.9
2017,,107.1
2018,,98.5
2019,,103.9
2020,,99.5
2021,,94.1
2022,,80.6
2015,Виробництво м’яса та м’ясних продуктів,100.2
2016,Виробництво м’яса та м’ясних продуктів,104.1
2017,Виробництво м’яса та м’ясних продуктів,104.3
2018,Виробництво м’яса та м’ясних продуктів,99.9
2019,Виробництво м’яса та м’ясних продуктів,102.0
2020,Виробництво м’яса та м’ясних продуктів,100.0
2021,Виробництво м’яса та м’ясних продуктів,103.9
2022,Виробництво м’яса та м’ясних продуктів,90.2
2015,"Перероблення та консервування риби, ракоподібних і молюсків",78.5
2016,"Перероблення та консервування риби, ракоподібних і молюсків",128.4
2017,"Перероблення та консервування риби, ракоподібних і молюсків",109.2
2018,"Перероблення та консервування риби, ракоподібних і молюсків",114.1
2019,"Перероблення та консервування риби, ракоподібних і молюсків",104.0
2020,"Перероблення та консервування риби, ракоподібних і молюсків",97.4
2021,"Перероблення та консервування риби, ракоподібних і молюсків",112.1
2022,"Перероблення та консервування риби, ракоподібних і молюсків",63.3
2015,Перероблення та консервування фруктів і овочів,84.7
2016,Перероблення та консервування фруктів і овочів,106.0
2017,Перероблення та консервування фруктів і овочів,101.6
2018,Перероблення та консервування фруктів і овочів,109.9
2019,Перероблення та консервування фруктів і овочів,99.4
2020,Перероблення та консервування фруктів і овочів,105.6
2021,Перероблення та консервування фруктів і овочів,108.8
2022,Перероблення та консервування фруктів і овочів,54.4
2015,Виробництво олії та тваринних жирів,85.9
2016,Виробництво олії та тваринних жирів,118.4
2017,Виробництво олії та тваринних жирів,117.5
2018,Виробництво олії та тваринних жирів,97.9
2019,Виробництво олії та тваринних жирів,113.7
2020,Виробництво олії та тваринних жирів,104.8
2021,Виробництво олії та тваринних жирів,80.4
2022,Виробництво олії та тваринних жирів,81.8
2015,Виробництво молочних продуктів,91.7
2016,Виробництво молочних продуктів,99.7
2017,Виробництво молочних продуктів,100.8
2018,Виробництво молочних продуктів,101.7
2019,Виробництво молочних продуктів,95.1
2020,Виробництво молочних продуктів,100.2
2021,Виробництво молочних продуктів,94.5
2022,Виробництво молочних продуктів,76.9
2015,"Виробництво продуктів борошномельно-круп'яної промисловості, крохмалів та крохмальних продуктів",101.1
2016,"Виробництво продуктів борошномельно-круп'яної промисловості, крохмалів та крохмальних продуктів",103.1
2017,"Виробництво продуктів борошномельно-круп'яної промисловості, крохмалів та крохмальних продуктів",98.9
2018,"Виробництво продуктів борошномельно-круп'яної промисловості, крохмалів та крохмальних продуктів",89.2
2019,"Виробництво продуктів борошномельно-круп'яної промисловості, крохмалів та крохмальних продуктів",104.1
2020,"Виробництво продуктів борошномельно-круп'яної промисловості, крохмалів та крохмальних продуктів",93.6
2021,"Виробництво продуктів борошномельно-круп'яної промисловості, крохмалів та крохмальних продуктів",100.6
2022,"Виробництво продуктів борошномельно-круп'яної промисловості, крохмалів та крохмальних продуктів",77.3
2015,Виробництво продуктів борошномельно-круп'яної промисловості,94.7
2016,Виробництво продуктів борошномельно-круп'яної промисловості,97.7
2017,Виробництво продуктів борошномельно-круп'яної промисловості,95.1
2018,Виробництво продуктів борошномельно-круп'яної промисловості,91.2
2019,Виробництво продуктів борошномельно-круп'яної промисловості,104.2
2020,Виробництво продуктів борошномельно-круп'яної промисловості,87.0
2021,Виробництво продуктів борошномельно-круп'яної промисловості,90.8
2022,Виробництво продуктів борошномельно-круп'яної промисловості,86.1
2015,"Виробництво хліба, хлібобулочних і борошняних виробів",85.3
2016,"Виробництво хліба, хлібобулочних і борошняних виробів",97.6
2017,"Виробництво хліба, хлібобулочних і борошняних виробів",98.5
2018,"Виробництво хліба, хлібобулочних і борошняних виробів",95.0
2019,"Виробництво хліба, хлібобулочних і борошняних виробів",94.0
2020,"Виробництво хліба, хлібобулочних і борошняних виробів",95.7
2021,"Виробництво хліба, хлібобулочних і борошняних виробів",102.2
2022,"Виробництво хліба, хлібобулочних і борошняних виробів",77.0
2015,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",87.4
2016,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",96.0
2017,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",95.4
2018,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",93.2
2019,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",91.1
2020,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",95.3
2021,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",102.8
2022,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",79.2
2015,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",80.7
2016,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",101.4
2017,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",105.1
2018,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",99.2
2019,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",99.3
2020,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",96.5
2021,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",101.9
2022,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",73.1
2015,Виробництво інших харчових продуктів,77.6
2016,Виробництво інших харчових продуктів,111.3
2017,Виробництво інших харчових продуктів,102.2
2018,Виробництво інших харчових продуктів,98.3
2019,Виробництво інших харчових продуктів,93.4
2020,Виробництво інших харчових продуктів,87.1
2021,Виробництво інших харчових продуктів,109.4
2022,Виробництво інших харчових продуктів,68.2
2015,Виробництво цукру,69.1
2016,Виробництво цукру,133.6
2017,Виробництво цукру,100.9
2018,Виробництво цукру,89.6
2019,Виробництво цукру,82.8
2020,Виробництво цукру,67.0
2021,Виробництво цукру,131.9
2022,Виробництво цукру,
2015,"Виробництво какао, шоколаду та цукрових кондитерських виробів",83.2
2016,"Виробництво какао, шоколаду та цукрових кондитерських виробів",97.2
2017,"Виробництво какао, шоколаду та цукрових кондитерських виробів",106.5
2018,"Виробництво какао, шоколаду та цукрових кондитерських виробів",107.7
2019,"Виробництво какао, шоколаду та цукрових кондитерських виробів",111.3
2020,"Виробництво какао, шоколаду та цукрових кондитерських виробів",98.8
2021,"Виробництво какао, шоколаду та цукрових кондитерських виробів",100.7
2022,"Виробництво какао, шоколаду та цукрових кондитерських виробів",72.2
2015,Виробництво чаю та кави,93.6
2016,Виробництво чаю та кави,103.6
2017,Виробництво чаю та кави,95.1
2018,Виробництво чаю та кави,104.0
2019,Виробництво чаю та кави,97.3
2020,Виробництво чаю та кави,93.2
2021,Виробництво чаю та кави,106.8
2022,Виробництво чаю та кави,59.5
2015,Виробництво прянощів і приправ,84.2
2016,Виробництво прянощів і приправ,100.8
