Year,Освітній рівень,Тип населенного пункту,Стать,Value
2015,"1-й рівень (початковий, 0-3 бали)","селище, село",,56
2016,"1-й рівень (початковий, 0-3 бали)","селище, село",,62
2017,"1-й рівень (початковий, 0-3 бали)","селище, село",,65
2018,"1-й рівень (початковий, 0-3 бали)","селище, село",,62
2019,"1-й рівень (початковий, 0-3 бали)","селище, село",,59
2020,"1-й рівень (початковий, 0-3 бали)","селище, село",,50
2021,"1-й рівень (початковий, 0-3 бали)","селище, село",,43
2015,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,11
2016,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,11
2017,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,10
2018,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,11
2019,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,11
2020,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,12
2021,"1-й рівень (початковий, 0-3 бали)",селище міського типу,,13
2015,"1-й рівень (початковий, 0-3 бали)",місто,,33
2016,"1-й рівень (початковий, 0-3 бали)",місто,,28
2017,"1-й рівень (початковий, 0-3 бали)",місто,,25
2018,"1-й рівень (початковий, 0-3 бали)",місто,,28
2019,"1-й рівень (початковий, 0-3 бали)",місто,,30
2020,"1-й рівень (початковий, 0-3 бали)",місто,,37
2021,"1-й рівень (початковий, 0-3 бали)",місто,,45
2015,"1-й рівень (початковий, 0-3 бали)",,жінки,32
2016,"1-й рівень (початковий, 0-3 бали)",,жінки,30
2017,"1-й рівень (початковий, 0-3 бали)",,жінки,27
2018,"1-й рівень (початковий, 0-3 бали)",,жінки,29
2019,"1-й рівень (початковий, 0-3 бали)",,жінки,29
2020,"1-й рівень (початковий, 0-3 бали)",,жінки,31
2021,"1-й рівень (початковий, 0-3 бали)",,жінки,35
2015,"1-й рівень (початковий, 0-3 бали)",,чоловіки,68
2016,"1-й рівень (початковий, 0-3 бали)",,чоловіки,70
2017,"1-й рівень (початковий, 0-3 бали)",,чоловіки,73
2018,"1-й рівень (початковий, 0-3 бали)",,чоловіки,71
2019,"1-й рівень (початковий, 0-3 бали)",,чоловіки,71
2020,"1-й рівень (початковий, 0-3 бали)",,чоловіки,69
2021,"1-й рівень (початковий, 0-3 бали)",,чоловіки,65
2015,"2-й рівень (середній, 4-6 балів)","селище, село",,35
2016,"2-й рівень (середній, 4-6 балів)","селище, село",,41
2017,"2-й рівень (середній, 4-6 балів)","селище, село",,41
2018,"2-й рівень (середній, 4-6 балів)","селище, село",,38
2019,"2-й рівень (середній, 4-6 балів)","селище, село",,35
2020,"2-й рівень (середній, 4-6 балів)","селище, село",,34
2021,"2-й рівень (середній, 4-6 балів)","селище, село",,29
2015,"2-й рівень (середній, 4-6 балів)",селище міського типу,,10
2016,"2-й рівень (середній, 4-6 балів)",селище міського типу,,11
2017,"2-й рівень (середній, 4-6 балів)",селище міського типу,,10
2018,"2-й рівень (середній, 4-6 балів)",селище міського типу,,11
2019,"2-й рівень (середній, 4-6 балів)",селище міського типу,,10
2020,"2-й рівень (середній, 4-6 балів)",селище міського типу,,11
2021,"2-й рівень (середній, 4-6 балів)",селище міського типу,,11
2015,"2-й рівень (середній, 4-6 балів)",місто,,54
2016,"2-й рівень (середній, 4-6 балів)",місто,,48
2017,"2-й рівень (середній, 4-6 балів)",місто,,48
2018,"2-й рівень (середній, 4-6 балів)",місто,,51
2019,"2-й рівень (середній, 4-6 балів)",місто,,54
2020,"2-й рівень (середній, 4-6 балів)",місто,,55
2021,"2-й рівень (середній, 4-6 балів)",місто,,60
2015,"2-й рівень (середній, 4-6 балів)",,жінки,48
2016,"2-й рівень (середній, 4-6 балів)",,жінки,46
2017,"2-й рівень (середній, 4-6 балів)",,жінки,43
2018,"2-й рівень (середній, 4-6 балів)",,жінки,44
2019,"2-й рівень (середній, 4-6 балів)",,жінки,45
2020,"2-й рівень (середній, 4-6 балів)",,жінки,44
2021,"2-й рівень (середній, 4-6 балів)",,жінки,46
2015,"2-й рівень (середній, 4-6 балів)",,чоловіки,52
2016,"2-й рівень (середній, 4-6 балів)",,чоловіки,54
2017,"2-й рівень (середній, 4-6 балів)",,чоловіки,57
2018,"2-й рівень (середній, 4-6 балів)",,чоловіки,56
2019,"2-й рівень (середній, 4-6 балів)",,чоловіки,55
2020,"2-й рівень (середній, 4-6 балів)",,чоловіки,56
2021,"2-й рівень (середній, 4-6 балів)",,чоловіки,54
2015,"3-й рівень (достатній, 7-9 балів)","селище, село",,19
2016,"3-й рівень (достатній, 7-9 балів)","селище, село",,24
2017,"3-й рівень (достатній, 7-9 балів)","селище, село",,22
2018,"3-й рівень (достатній, 7-9 балів)","селище, село",,20
2019,"3-й рівень (достатній, 7-9 балів)","селище, село",,19
2020,"3-й рівень (достатній, 7-9 балів)","селище, село",,20
2021,"3-й рівень (достатній, 7-9 балів)","селище, село",,18
2015,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9
2016,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,10
2017,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9
2018,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9
2019,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9
2020,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9
2021,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9
2015,"3-й рівень (достатній, 7-9 балів)",місто,,71
2016,"3-й рівень (достатній, 7-9 балів)",місто,,67
2017,"3-й рівень (достатній, 7-9 балів)",місто,,69
2018,"3-й рівень (достатній, 7-9 балів)",місто,,71
2019,"3-й рівень (достатній, 7-9 балів)",місто,,72
2020,"3-й рівень (достатній, 7-9 балів)",місто,,71
2021,"3-й рівень (достатній, 7-9 балів)",місто,,73
2015,"3-й рівень (достатній, 7-9 балів)",,жінки,60
2016,"3-й рівень (достатній, 7-9 балів)",,жінки,56
2017,"3-й рівень (достатній, 7-9 балів)",,жінки,56
2018,"3-й рівень (достатній, 7-9 балів)",,жінки,56
2019,"3-й рівень (достатній, 7-9 балів)",,жінки,58
2020,"3-й рівень (достатній, 7-9 балів)",,жінки,55
2021,"3-й рівень (достатній, 7-9 балів)",,жінки,57
2015,"3-й рівень (достатній, 7-9 балів)",,чоловіки,40
2016,"3-й рівень (достатній, 7-9 балів)",,чоловіки,44
2017,"3-й рівень (достатній, 7-9 балів)",,чоловіки,44
2018,"3-й рівень (достатній, 7-9 балів)",,чоловіки,44
2019,"3-й рівень (достатній, 7-9 балів)",,чоловіки,42
2020,"3-й рівень (достатній, 7-9 балів)",,чоловіки,45
2021,"3-й рівень (достатній, 7-9 балів)",,чоловіки,43
2015,"4-й рівень (високий, 10-12 балів)","селище, село",,10
2016,"4-й рівень (високий, 10-12 балів)","селище, село",,13
2017,"4-й рівень (високий, 10-12 балів)","селище, село",,12
2018,"4-й рівень (високий, 10-12 балів)","селище, село",,11
2019,"4-й рівень (високий, 10-12 балів)","селище, село",,10
2020,"4-й рівень (високий, 10-12 балів)","селище, село",,12
2021,"4-й рівень (високий, 10-12 балів)","селище, село",,10
2015,"4-й рівень (високий, 10-12 балів)",селище міського типу,,8
2016,"4-й рівень (високий, 10-12 балів)",селище міського типу,,7
2017,"4-й рівень (високий, 10-12 балів)",селище міського типу,,8
2018,"4-й рівень (високий, 10-12 балів)",селище міського типу,,8
2019,"4-й рівень (високий, 10-12 балів)",селище міського типу,,8
2020,"4-й рівень (високий, 10-12 балів)",селище міського типу,,7
2021,"4-й рівень (високий, 10-12 балів)",селище міського типу,,7
2015,"4-й рівень (високий, 10-12 балів)",місто,,82
2016,"4-й рівень (високий, 10-12 балів)",місто,,80
2017,"4-й рівень (високий, 10-12 балів)",місто,,81
2018,"4-й рівень (високий, 10-12 балів)",місто,,81
2019,"4-й рівень (високий, 10-12 балів)",місто,,82
2020,"4-й рівень (високий, 10-12 балів)",місто,,81
2021,"4-й рівень (високий, 10-12 балів)",місто,,82
2015,"4-й рівень (високий, 10-12 балів)",,жінки,72
2016,"4-й рівень (високий, 10-12 балів)",,жінки,71
2017,"4-й рівень (високий, 10-12 балів)",,жінки,71
2018,"4-й рівень (високий, 10-12 балів)",,жінки,71
2019,"4-й рівень (високий, 10-12 балів)",,жінки,71
2020,"4-й рівень (високий, 10-12 балів)",,жінки,69
2021,"4-й рівень (високий, 10-12 балів)",,жінки,69
2015,"4-й рівень (високий, 10-12 балів)",,чоловіки,28
2016,"4-й рівень (високий, 10-12 балів)",,чоловіки,29
2017,"4-й рівень (високий, 10-12 балів)",,чоловіки,29
2018,"4-й рівень (високий, 10-12 балів)",,чоловіки,29
2019,"4-й рівень (високий, 10-12 балів)",,чоловіки,29
2020,"4-й рівень (високий, 10-12 балів)",,чоловіки,31
2021,"4-й рівень (високий, 10-12 балів)",,чоловіки,31
