Year,Витрати на підготовку фахівця,Value
2015,"середні витрати на одного приведеного студента, грн",27890.0
2016,"середні витрати на одного приведеного студента, грн",29606.9
2017,"середні витрати на одного приведеного студента, грн",33577.4
2018,"середні витрати на одного приведеного студента, грн",40724.7
2019,"середні витрати на одного приведеного студента, грн",52482.7
2020,"середні витрати на одного приведеного студента, грн",36228.8
2015,"середні витрати на одного аспіранта, які навчаються за вечірньою формою навчання, грн",15167.0
2016,"середні витрати на одного аспіранта, які навчаються за вечірньою формою навчання, грн",16251.8
2017,"середні витрати на одного аспіранта, які навчаються за вечірньою формою навчання, грн",18055.8
2018,"середні витрати на одного аспіранта, які навчаються за вечірньою формою навчання, грн",30802.2
2019,"середні витрати на одного аспіранта, які навчаються за вечірньою формою навчання, грн",34109.3
2020,"середні витрати на одного аспіранта, які навчаються за вечірньою формою навчання, грн",104802.7
2015,"середні витрати на одного аспіранта, які  навчаються з відривом від виробництва, грн",39284.2
2016,"середні витрати на одного аспіранта, які  навчаються з відривом від виробництва, грн",42207.6
2017,"середні витрати на одного аспіранта, які  навчаються з відривом від виробництва, грн",51785.7
2018,"середні витрати на одного аспіранта, які  навчаються з відривом від виробництва, грн",72244.4
2019,"середні витрати на одного аспіранта, які  навчаються з відривом від виробництва, грн",95359.8
2020,"середні витрати на одного аспіранта, які  навчаються з відривом від виробництва, грн",144455.6
2015,"середні витрати на одного докторанта, грн",52445.5
2016,"середні витрати на одного докторанта, грн",60872.5
2017,"середні витрати на одного докторанта, грн",71168.2
2018,"середні витрати на одного докторанта, грн",121555.7
2019,"середні витрати на одного докторанта, грн",135695.1
2020,"середні витрати на одного докторанта, грн",220128.0
