Year,Стать,Місцевість проживання,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,212.0
2015,"жінки, хвилин на добу",,
2016,"жінки, хвилин на добу",,
2017,"жінки, хвилин на добу",,
2018,"жінки, хвилин на добу",,
2019,"жінки, хвилин на добу",,
2020,"жінки, хвилин на добу",,274.0
2015,"чоловіки, хвилин на добу",,
2016,"чоловіки, хвилин на добу",,
2017,"чоловіки, хвилин на добу",,
2018,"чоловіки, хвилин на добу",,
2019,"чоловіки, хвилин на добу",,
2020,"чоловіки, хвилин на добу",,129.0
2015,,"міська, %",
2016,,"міська, %",
2017,,"міська, %",
2018,,"міська, %",
2019,,"міська, %",
2020,,"міська, %",207.0
2015,"жінки, хвилин на добу","міська, %",
2016,"жінки, хвилин на добу","міська, %",
2017,"жінки, хвилин на добу","міська, %",
2018,"жінки, хвилин на добу","міська, %",
2019,"жінки, хвилин на добу","міська, %",
2020,"жінки, хвилин на добу","міська, %",257.0
2015,"чоловіки, хвилин на добу","міська, %",
2016,"чоловіки, хвилин на добу","міська, %",
2017,"чоловіки, хвилин на добу","міська, %",
2018,"чоловіки, хвилин на добу","міська, %",
2019,"чоловіки, хвилин на добу","міська, %",
2020,"чоловіки, хвилин на добу","міська, %",124.0
2015,,"сільська, %",
2016,,"сільська, %",
2017,,"сільська, %",
2018,,"сільська, %",
2019,,"сільська, %",
2020,,"сільська, %",256.0
2015,"жінки, хвилин на добу","сільська, %",
2016,"жінки, хвилин на добу","сільська, %",
2017,"жінки, хвилин на добу","сільська, %",
2018,"жінки, хвилин на добу","сільська, %",
2019,"жінки, хвилин на добу","сільська, %",
2020,"жінки, хвилин на добу","сільська, %",382.0
2015,"чоловіки, хвилин на добу","сільська, %",
2016,"чоловіки, хвилин на добу","сільська, %",
2017,"чоловіки, хвилин на добу","сільська, %",
2018,"чоловіки, хвилин на добу","сільська, %",
2019,"чоловіки, хвилин на добу","сільська, %",
2020,"чоловіки, хвилин на добу","сільська, %",149.0
