Year,Види економічної діяльності,Value
2015,,6.5
2016,,6.5
2017,,6.6
2018,,7.0
2019,,7.4
2020,,7.4
2015,"Сільське господарство, лісове господарство та рибне господарство",0.6
2016,"Сільське господарство, лісове господарство та рибне господарство",0.6
2017,"Сільське господарство, лісове господарство та рибне господарство",0.6
2018,"Сільське господарство, лісове господарство та рибне господарство",0.6
2019,"Сільське господарство, лісове господарство та рибне господарство",0.6
2020,"Сільське господарство, лісове господарство та рибне господарство",0.5
2015,Промисловість,1.5
2016,Промисловість,1.6
2017,Промисловість,1.6
2018,Промисловість,1.6
2019,Промисловість,1.5
2020,Промисловість,1.5
2015,Будівництво,0.3
2016,Будівництво,0.3
2017,Будівництво,0.3
2018,Будівництво,0.3
2019,Будівництво,0.3
2020,Будівництво,0.3
2015,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2.0
2016,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,1.9
2017,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,1.9
2018,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2.1
2019,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2.0
2020,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2.0
2015,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2016,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2017,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2018,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2019,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2020,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2015,Тимчасове розміщування й організація харчування,0.2
2016,Тимчасове розміщування й організація харчування,0.2
2017,Тимчасове розміщування й організація харчування,0.2
2018,Тимчасове розміщування й організація харчування,0.3
2019,Тимчасове розміщування й організація харчування,
2020,Тимчасове розміщування й організація харчування,
2015,Інформація та телекомунікації,0.2
2016,Інформація та телекомунікації,0.2
2017,Інформація та телекомунікації,0.3
2018,Інформація та телекомунікації,0.3
2019,Інформація та телекомунікації,0.3
2020,Інформація та телекомунікації,0.4
2015,Фінансова та страхова діяльність,0.2
2016,Фінансова та страхова діяльність,0.1
2017,Фінансова та страхова діяльність,0.1
2018,Фінансова та страхова діяльність,
2019,Фінансова та страхова діяльність,0.1
2020,Фінансова та страхова діяльність,0.1
2015,Операції з нерухомим майном,0.2
2016,Операції з нерухомим майном,
2017,Операції з нерухомим майном,
2018,Операції з нерухомим майном,0.2
2019,Операції з нерухомим майном,
2020,Операції з нерухомим майном,
2015,"Професійна, наукова та технічна діяльність",0.3
2016,"Професійна, наукова та технічна діяльність",0.3
2017,"Професійна, наукова та технічна діяльність",
2018,"Професійна, наукова та технічна діяльність",
2019,"Професійна, наукова та технічна діяльність",
2020,"Професійна, наукова та технічна діяльність",
2015,Діяльність у сфері адміністративного та допоміжного обслуговування,0.3
2016,Діяльність у сфері адміністративного та допоміжного обслуговування,0.3
2017,Діяльність у сфері адміністративного та допоміжного обслуговування,0.3
2018,Діяльність у сфері адміністративного та допоміжного обслуговування,0.3
2019,Діяльність у сфері адміністративного та допоміжного обслуговування,
2020,Діяльність у сфері адміністративного та допоміжного обслуговування,
2015,Освіта,0.0
2016,Освіта,0.0
2017,Освіта,0.0
2018,Освіта,0.0
2019,Освіта,0.0
2020,Освіта,0.0
2015,Охорона здоров`я та надання соціальної допомоги,0.1
2016,Охорона здоров`я та надання соціальної допомоги,0.1
2017,Охорона здоров`я та надання соціальної допомоги,0.1
2018,Охорона здоров`я та надання соціальної допомоги,0.3
2019,Охорона здоров`я та надання соціальної допомоги,
2020,Охорона здоров`я та надання соціальної допомоги,
2015,"Мистецтво, спорт, розваги та відпочинок",0.0
2016,"Мистецтво, спорт, розваги та відпочинок",
2017,"Мистецтво, спорт, розваги та відпочинок",
2018,"Мистецтво, спорт, розваги та відпочинок",
2019,"Мистецтво, спорт, розваги та відпочинок",
2020,"Мистецтво, спорт, розваги та відпочинок",
2015,Надання інших видів послуг,0.1
2016,Надання інших видів послуг,0.1
2017,Надання інших видів послуг,0.1
2018,Надання інших видів послуг,0.2
2019,Надання інших видів послуг,0.2
2020,Надання інших видів послуг,0.2
