Year,Види транспорту,Value
2015,,5166.8
2016,,4853.8
2017,,4648.2
2018,,4487.1
2019,,4262.3
2020,,2570.2
2015,залізничний,389.8
2016,залізничний,389.1
2017,залізничний,164.9
2018,залізничний,158.0
2019,залізничний,154.8
2020,залізничний,68.3
2015,автомобільний,2250.3
2016,автомобільний,2024.9
2017,автомобільний,2019.3
2018,автомобільний,1906.8
2019,автомобільний,1804.9
2020,автомобільний,1083.9
2015,морський,0.0
2016,морський,0.0
2017,морський,0.0
2018,морський,0.1
2019,морський,0.1
2020,морський,0.1
2015,річковий,0.6
2016,річковий,0.4
2017,річковий,0.6
2018,річковий,0.6
2019,річковий,0.6
2020,річковий,0.2
2015,авіаційний,6.3
2016,авіаційний,8.3
2017,авіаційний,10.6
2018,авіаційний,12.5
2019,авіаційний,13.7
2020,авіаційний,4.8
2015,трамвайний,738.6
2016,трамвайний,694.0
2017,трамвайний,675.8
2018,трамвайний,666.3
2019,трамвайний,627.5
2020,трамвайний,422.8
2015,тролейбусний,1080.8
2016,тролейбусний,1038.7
2017,тролейбусний,1058.1
2018,тролейбусний,1016.2
2019,тролейбусний,945.7
2020,тролейбусний,579.0
2015,метрополітенівський,700.4
2016,метрополітенівський,698.4
2017,метрополітенівський,718.9
2018,метрополітенівський,726.6
2019,метрополітенівський,715.0
2020,метрополітенівський,411.1
