Year,Об'єкт,Рівень,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2015,Заклади охорони здоров'я,"безбар'єрних, %",
2016,Заклади охорони здоров'я,"безбар'єрних, %",
2017,Заклади охорони здоров'я,"безбар'єрних, %",
2018,Заклади охорони здоров'я,"безбар'єрних, %",
2019,Заклади охорони здоров'я,"безбар'єрних, %",
2020,Заклади охорони здоров'я,"безбар'єрних, %",
2021,Заклади охорони здоров'я,"безбар'єрних, %",35.0
2015,Заклади охорони здоров'я,"частково безбар'єрних, %",
2016,Заклади охорони здоров'я,"частково безбар'єрних, %",
2017,Заклади охорони здоров'я,"частково безбар'єрних, %",
2018,Заклади охорони здоров'я,"частково безбар'єрних, %",
2019,Заклади охорони здоров'я,"частково безбар'єрних, %",
2020,Заклади охорони здоров'я,"частково безбар'єрних, %",
2021,Заклади охорони здоров'я,"частково безбар'єрних, %",39.0
2015,Заклади освіти,"безбар'єрних, %",
2016,Заклади освіти,"безбар'єрних, %",
2017,Заклади освіти,"безбар'єрних, %",
2018,Заклади освіти,"безбар'єрних, %",
2019,Заклади освіти,"безбар'єрних, %",
2020,Заклади освіти,"безбар'єрних, %",
2021,Заклади освіти,"безбар'єрних, %",16.0
2015,Заклади освіти,"частково безбар'єрних, %",
2016,Заклади освіти,"частково безбар'єрних, %",
2017,Заклади освіти,"частково безбар'єрних, %",
2018,Заклади освіти,"частково безбар'єрних, %",
2019,Заклади освіти,"частково безбар'єрних, %",
2020,Заклади освіти,"частково безбар'єрних, %",
2021,Заклади освіти,"частково безбар'єрних, %",48.0
2015,Структурні підрозділи з питань соцзахисту,"безбар'єрних, %",
2016,Структурні підрозділи з питань соцзахисту,"безбар'єрних, %",
2017,Структурні підрозділи з питань соцзахисту,"безбар'єрних, %",
2018,Структурні підрозділи з питань соцзахисту,"безбар'єрних, %",
2019,Структурні підрозділи з питань соцзахисту,"безбар'єрних, %",
2020,Структурні підрозділи з питань соцзахисту,"безбар'єрних, %",
2021,Структурні підрозділи з питань соцзахисту,"безбар'єрних, %",28.0
2015,Структурні підрозділи з питань соцзахисту,"частково безбар'єрних, %",
2016,Структурні підрозділи з питань соцзахисту,"частково безбар'єрних, %",
2017,Структурні підрозділи з питань соцзахисту,"частково безбар'єрних, %",
