Year,Місцевість проживання,Область,Value
2015,,,14.0
2016,,,39.0
2017,,,56.0
2018,,,62.0
2019,,,46.0
2020,,,52.0
2015,,Вінницька,7.0
2016,,Вінницька,38.0
2017,,Вінницька,53.0
2018,,Вінницька,62.0
2019,,Вінницька,38.0
2020,,Вінницька,43.0
2015,,Волинська,7.0
2016,,Волинська,32.0
2017,,Волинська,48.0
2018,,Волинська,56.0
2019,,Волинська,51.0
2020,,Волинська,54.0
2015,,Дніпропетровська,10.0
2016,,Дніпропетровська,31.0
2017,,Дніпропетровська,48.0
2018,,Дніпропетровська,56.0
2019,,Дніпропетровська,48.0
2020,,Дніпропетровська,51.0
2015,,Донецька,5.0
2016,,Донецька,27.0
2017,,Донецька,46.0
2018,,Донецька,43.0
2019,,Донецька,31.0
2020,,Донецька,38.0
2015,,Житомирська,5.0
2016,,Житомирська,37.0
2017,,Житомирська,52.0
2018,,Житомирська,57.0
2019,,Житомирська,32.0
2020,,Житомирська,41.0
2015,,Закарпатська,5.0
2016,,Закарпатська,24.0
2017,,Закарпатська,40.0
2018,,Закарпатська,46.0
2019,,Закарпатська,35.0
2020,,Закарпатська,37.0
2015,,Запорізька,9.0
2016,,Запорізька,35.0
2017,,Запорізька,52.0
2018,,Запорізька,51.0
2019,,Запорізька,53.0
2020,,Запорізька,58.0
2015,,Івано-Франківська,6.0
2016,,Івано-Франківська,23.0
2017,,Івано-Франківська,41.0
2018,,Івано-Франківська,48.0
2019,,Івано-Франківська,43.0
2020,,Івано-Франківська,53.0
2015,,Київська,9.0
2016,,Київська,42.0
2017,,Київська,59.0
2018,,Київська,69.0
2019,,Київська,69.0
2020,,Київська,76.0
2015,,Кіровоградська,8.0
2016,,Кіровоградська,23.0
2017,,Кіровоградська,43.0
2018,,Кіровоградська,49.0
2019,,Кіровоградська,30.0
2020,,Кіровоградська,33.0
2015,,Луганська,3.0
2016,,Луганська,21.0
2017,,Луганська,38.0
2018,,Луганська,42.0
2019,,Луганська,26.0
2020,,Луганська,32.0
2015,,Львівська,11.0
2016,,Львівська,43.0
2017,,Львівська,56.0
2018,,Львівська,66.0
2019,,Львівська,54.0
2020,,Львівська,64.0
2015,,Миколаївська,10.0
2016,,Миколаївська,44.0
2017,,Миколаївська,62.0
2018,,Миколаївська,71.0
2019,,Миколаївська,42.0
2020,,Миколаївська,46.0
2015,,Одеська,56.0
2016,,Одеська,95.0
2017,,Одеська,106.0
2018,,Одеська,113.0
2019,,Одеська,61.0
2020,,Одеська,71.0
2015,,Полтавська,8.0
2016,,Полтавська,27.0
2017,,Полтавська,46.0
2018,,Полтавська,54.0
2019,,Полтавська,36.0
2020,,Полтавська,43.0
2015,,Рівненська,5.0
2016,,Рівненська,28.0
2017,,Рівненська,44.0
2018,,Рівненська,51.0
2019,,Рівненська,48.0
2020,,Рівненська,56.0
2015,,Сумська,7.0
2016,,Сумська,26.0
2017,,Сумська,44.0
2018,,Сумська,51.0
2019,,Сумська,47.0
2020,,Сумська,51.0
2015,,Тернопільська,8.0
2016,,Тернопільська,25.0
2017,,Тернопільська,42.0
2018,,Тернопільська,49.0
2019,,Тернопільська,47.0
2020,,Тернопільська,53.0
2015,,Харківська,8.0
2016,,Харківська,35.0
2017,,Харківська,51.0
2018,,Харківська,59.0
2019,,Харківська,39.0
2020,,Харківська,41.0
2015,,Херсонська,8.0
2016,,Херсонська,27.0
2017,,Херсонська,46.0
2018,,Херсонська,52.0
2019,,Херсонська,45.0
2020,,Херсонська,54.0
