Year,Обсяг викидів парникових газів,Value
2015,всього,37.2
2016,всього,39.7
2017,всього,37.1
2018,всього,40.3
2019,всього,39.4
2020,всього,34.7
2021,всього,
2015,"за основними типами джерел, зокрема автомобільного транспорту",37.2
2016,"за основними типами джерел, зокрема автомобільного транспорту",39.1
2017,"за основними типами джерел, зокрема автомобільного транспорту",40.2
2018,"за основними типами джерел, зокрема автомобільного транспорту",40.3
2019,"за основними типами джерел, зокрема автомобільного транспорту",43.4
2020,"за основними типами джерел, зокрема автомобільного транспорту",38.1
2021,"за основними типами джерел, зокрема автомобільного транспорту",
