Year,Level,Settlement,Gender,Value
2015,1_level,village_,,56
2016,1_level,village_,,62
2017,1_level,village_,,65
2018,1_level,village_,,62
2019,1_level,village_,,59
2020,1_level,village_,,50
2021,1_level,village_,,43
2015,1_level,urban_settl,,11
2016,1_level,urban_settl,,11
2017,1_level,urban_settl,,10
2018,1_level,urban_settl,,11
2019,1_level,urban_settl,,11
2020,1_level,urban_settl,,12
2021,1_level,urban_settl,,13
2015,1_level,city,,33
2016,1_level,city,,28
2017,1_level,city,,25
2018,1_level,city,,28
2019,1_level,city,,30
2020,1_level,city,,37
2021,1_level,city,,45
2015,1_level,,females,32
2016,1_level,,females,30
2017,1_level,,females,27
2018,1_level,,females,29
2019,1_level,,females,29
2020,1_level,,females,31
2021,1_level,,females,35
2015,1_level,,males,68
2016,1_level,,males,70
2017,1_level,,males,73
2018,1_level,,males,71
2019,1_level,,males,71
2020,1_level,,males,69
2021,1_level,,males,65
2015,2_level,village_,,35
2016,2_level,village_,,41
2017,2_level,village_,,41
2018,2_level,village_,,38
2019,2_level,village_,,35
2020,2_level,village_,,34
2021,2_level,village_,,29
2015,2_level,urban_settl,,10
2016,2_level,urban_settl,,11
2017,2_level,urban_settl,,10
2018,2_level,urban_settl,,11
2019,2_level,urban_settl,,10
2020,2_level,urban_settl,,11
2021,2_level,urban_settl,,11
2015,2_level,city,,54
2016,2_level,city,,48
2017,2_level,city,,48
2018,2_level,city,,51
2019,2_level,city,,54
2020,2_level,city,,55
2021,2_level,city,,60
2015,2_level,,females,48
2016,2_level,,females,46
2017,2_level,,females,43
2018,2_level,,females,44
2019,2_level,,females,45
2020,2_level,,females,44
2021,2_level,,females,46
2015,2_level,,males,52
2016,2_level,,males,54
2017,2_level,,males,57
2018,2_level,,males,56
2019,2_level,,males,55
2020,2_level,,males,56
2021,2_level,,males,54
2015,3_level,village_,,19
2016,3_level,village_,,24
2017,3_level,village_,,22
2018,3_level,village_,,20
2019,3_level,village_,,19
2020,3_level,village_,,20
2021,3_level,village_,,18
2015,3_level,urban_settl,,9
2016,3_level,urban_settl,,10
2017,3_level,urban_settl,,9
2018,3_level,urban_settl,,9
2019,3_level,urban_settl,,9
2020,3_level,urban_settl,,9
2021,3_level,urban_settl,,9
2015,3_level,city,,71
2016,3_level,city,,67
2017,3_level,city,,69
2018,3_level,city,,71
2019,3_level,city,,72
2020,3_level,city,,71
2021,3_level,city,,73
2015,3_level,,females,60
2016,3_level,,females,56
2017,3_level,,females,56
2018,3_level,,females,56
2019,3_level,,females,58
2020,3_level,,females,55
2021,3_level,,females,57
2015,3_level,,males,40
2016,3_level,,males,44
2017,3_level,,males,44
2018,3_level,,males,44
2019,3_level,,males,42
2020,3_level,,males,45
2021,3_level,,males,43
2015,4_level,village_,,10
2016,4_level,village_,,13
2017,4_level,village_,,12
2018,4_level,village_,,11
2019,4_level,village_,,10
2020,4_level,village_,,12
2021,4_level,village_,,10
2015,4_level,urban_settl,,8
2016,4_level,urban_settl,,7
2017,4_level,urban_settl,,8
2018,4_level,urban_settl,,8
2019,4_level,urban_settl,,8
2020,4_level,urban_settl,,7
2021,4_level,urban_settl,,7
2015,4_level,city,,82
2016,4_level,city,,80
2017,4_level,city,,81
2018,4_level,city,,81
2019,4_level,city,,82
2020,4_level,city,,81
2021,4_level,city,,82
2015,4_level,,females,72
2016,4_level,,females,71
2017,4_level,,females,71
2018,4_level,,females,71
2019,4_level,,females,71
2020,4_level,,females,69
2021,4_level,,females,69
2015,4_level,,males,28
2016,4_level,,males,29
2017,4_level,,males,29
2018,4_level,,males,29
2019,4_level,,males,29
2020,4_level,,males,31
2021,4_level,,males,31
