Year,Стать,Місцевість проживання,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,212.0
2015,жінки,,
2016,жінки,,
2017,жінки,,
2018,жінки,,
2019,жінки,,
2020,жінки,,274.0
2015,чоловіки,,
2016,чоловіки,,
2017,чоловіки,,
2018,чоловіки,,
2019,чоловіки,,
2020,чоловіки,,129.0
2015,,міська,
2016,,міська,
2017,,міська,
2018,,міська,
2019,,міська,
2020,,міська,207.0
2015,жінки,міська,
2016,жінки,міська,
2017,жінки,міська,
2018,жінки,міська,
2019,жінки,міська,
2020,жінки,міська,257.0
2015,чоловіки,міська,
2016,чоловіки,міська,
2017,чоловіки,міська,
2018,чоловіки,міська,
2019,чоловіки,міська,
2020,чоловіки,міська,124.0
2015,,сільська,
2016,,сільська,
2017,,сільська,
2018,,сільська,
2019,,сільська,
2020,,сільська,256.0
2015,жінки,сільська,
2016,жінки,сільська,
2017,жінки,сільська,
2018,жінки,сільська,
2019,жінки,сільська,
2020,жінки,сільська,382.0
2015,чоловіки,сільська,
2016,чоловіки,сільська,
2017,чоловіки,сільська,
2018,чоловіки,сільська,
2019,чоловіки,сільська,
2020,чоловіки,сільська,149.0
