Year,Res_inten,Value
2015,int_1_energy,100.0
2016,int_1_energy,102.3
2017,int_1_energy,94.7
2018,int_1_energy,95.3
2019,int_1_energy,88.2
2020,int_1_energy,
2015,int_2_mater,100.0
2016,int_2_mater,100.0
2017,int_2_mater,98.2
2018,int_2_mater,97.2
2019,int_2_mater,100.5
2020,int_2_mater,
2015,int_3_carbon,100.0
2016,int_3_carbon,105.8
2017,int_3_carbon,85.1
2018,int_3_carbon,83.8
2019,int_3_carbon,77.9
2020,int_3_carbon,
2015,int_4_water,100.0
2016,int_4_water,98.2
2017,int_4_water,91.6
2018,int_4_water,95.2
2019,int_4_water,91.7
2020,int_4_water,
2015,int_5_waste,100.0
2016,int_5_waste,92.5
2017,int_5_waste,111.6
2018,int_5_waste,104.0
2019,int_5_waste,126.2
2020,int_5_waste,
