Year,Gender,Type of residence,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,212.0
2015,female,,
2016,female,,
2017,female,,
2018,female,,
2019,female,,
2020,female,,274.0
2015,male,,
2016,male,,
2017,male,,
2018,male,,
2019,male,,
2020,male,,129.0
2015,,urban,
2016,,urban,
2017,,urban,
2018,,urban,
2019,,urban,
2020,,urban,207.0
2015,female,urban,
2016,female,urban,
2017,female,urban,
2018,female,urban,
2019,female,urban,
2020,female,urban,257.0
2015,male,urban,
2016,male,urban,
2017,male,urban,
2018,male,urban,
2019,male,urban,
2020,male,urban,124.0
2015,,rural,
2016,,rural,
2017,,rural,
2018,,rural,
2019,,rural,
2020,,rural,256.0
2015,female,rural,
2016,female,rural,
2017,female,rural,
2018,female,rural,
2019,female,rural,
2020,female,rural,382.0
2015,male,rural,
2016,male,rural,
2017,male,rural,
2018,male,rural,
2019,male,rural,
2020,male,rural,149.0
