Year,Ec_activ,Value
2015,,16.38
2016,,12.93
2017,,21.15
2018,,18.27
2019,,13.72
2020,,10.05
2015,s_11_indu,14.38
2016,s_11_indu,9.5
2017,s_11_indu,11.17
2018,s_11_indu,9.18
2019,s_11_indu,2.63
2020,s_11_indu,3.15
2015,s_12_agri,6.83
2016,s_12_agri,6.64
2017,s_12_agri,8.13
2018,s_12_agri,4.4
2019,s_12_agri,12.46
2020,s_12_agri,9.7
2015,s_13_fores,
2016,s_13_fores,
2017,s_13_fores,
2018,s_13_fores,
2019,s_13_fores,
2020,s_13_fores,
2015,s_14_transp,38.24
2016,s_14_transp,24.95
2017,s_14_transp,22.3
2018,s_14_transp,27.23
2019,s_14_transp,4.6
2020,s_14_transp,9.4
2015,s_15_commun,
2016,s_15_commun,
2017,s_15_commun,
2018,s_15_commun,
2019,s_15_commun,
2020,s_15_commun,
2015,s_16_constr,74.31
2016,s_16_constr,0.92
2017,s_16_constr,
2018,s_16_constr,
2019,s_16_constr,1.2
2020,s_16_constr,82.06
2015,s_17_trade,96.42
2016,s_17_trade,95.93
2017,s_17_trade,95.31
2018,s_17_trade,95.15
2019,s_17_trade,93.46
2020,s_17_trade,7.49
2015,s_18_logis,11.49
2016,s_18_logis,9.89
2017,s_18_logis,16.02
2018,s_18_logis,13.74
2019,s_18_logis,7.95
2020,s_18_logis,9.42
2015,s_19_resid,19.75
2016,s_19_resid,18.97
2017,s_19_resid,40.23
2018,s_19_resid,38.68
2019,s_19_resid,38.27
2020,s_19_resid,25.84
2015,s_20_care,27.56
2016,s_20_care,25.43
2017,s_20_care,27.23
2018,s_20_care,20.29
2019,s_20_care,17.9
2020,s_20_care,39.23
2015,s_21_pub_ed,95.11
2016,s_21_pub_ed,95.12
2017,s_21_pub_ed,94.49
2018,s_21_pub_ed,92.37
2019,s_21_pub_ed,98.4
2020,s_21_pub_ed,97.69
2015,s_22_oth_sec,17.4
2016,s_22_oth_sec,16.67
2017,s_22_oth_sec,12.25
2018,s_22_oth_sec,62.19
2019,s_22_oth_sec,26.34
2020,s_22_oth_sec,10.8
