Year,Type of residence,Region,Value
2015,,,14.0
2016,,,39.0
2017,,,56.0
2018,,,62.0
2019,,,46.0
2020,,,52.0
2015,,11_reg_Vinnytsya,7.0
2016,,11_reg_Vinnytsya,38.0
2017,,11_reg_Vinnytsya,53.0
2018,,11_reg_Vinnytsya,62.0
2019,,11_reg_Vinnytsya,38.0
2020,,11_reg_Vinnytsya,43.0
2015,,12_reg_Volyn,7.0
2016,,12_reg_Volyn,32.0
2017,,12_reg_Volyn,48.0
2018,,12_reg_Volyn,56.0
2019,,12_reg_Volyn,51.0
2020,,12_reg_Volyn,54.0
2015,,13_reg_Dnipropetrovsk,10.0
2016,,13_reg_Dnipropetrovsk,31.0
2017,,13_reg_Dnipropetrovsk,48.0
2018,,13_reg_Dnipropetrovsk,56.0
2019,,13_reg_Dnipropetrovsk,48.0
2020,,13_reg_Dnipropetrovsk,51.0
2015,,14_reg_Donetsk,5.0
2016,,14_reg_Donetsk,27.0
2017,,14_reg_Donetsk,46.0
2018,,14_reg_Donetsk,43.0
2019,,14_reg_Donetsk,31.0
2020,,14_reg_Donetsk,38.0
2015,,15_reg_Zhytomyr,5.0
2016,,15_reg_Zhytomyr,37.0
2017,,15_reg_Zhytomyr,52.0
2018,,15_reg_Zhytomyr,57.0
2019,,15_reg_Zhytomyr,32.0
2020,,15_reg_Zhytomyr,41.0
2015,,16_reg_Zakarpattya,5.0
2016,,16_reg_Zakarpattya,24.0
2017,,16_reg_Zakarpattya,40.0
2018,,16_reg_Zakarpattya,46.0
2019,,16_reg_Zakarpattya,35.0
2020,,16_reg_Zakarpattya,37.0
2015,,17_reg_Zaporizhya,9.0
2016,,17_reg_Zaporizhya,35.0
2017,,17_reg_Zaporizhya,52.0
2018,,17_reg_Zaporizhya,51.0
2019,,17_reg_Zaporizhya,53.0
2020,,17_reg_Zaporizhya,58.0
2015,,18_reg_Ivano-Frankivsk,6.0
2016,,18_reg_Ivano-Frankivsk,23.0
2017,,18_reg_Ivano-Frankivsk,41.0
2018,,18_reg_Ivano-Frankivsk,48.0
2019,,18_reg_Ivano-Frankivsk,43.0
2020,,18_reg_Ivano-Frankivsk,53.0
2015,,19_reg_Kyiv,9.0
2016,,19_reg_Kyiv,42.0
2017,,19_reg_Kyiv,59.0
2018,,19_reg_Kyiv,69.0
2019,,19_reg_Kyiv,69.0
2020,,19_reg_Kyiv,76.0
2015,,20_reg_Kirovohrad,8.0
2016,,20_reg_Kirovohrad,23.0
2017,,20_reg_Kirovohrad,43.0
2018,,20_reg_Kirovohrad,49.0
2019,,20_reg_Kirovohrad,30.0
2020,,20_reg_Kirovohrad,33.0
2015,,21_reg_Luhansk,3.0
2016,,21_reg_Luhansk,21.0
2017,,21_reg_Luhansk,38.0
2018,,21_reg_Luhansk,42.0
2019,,21_reg_Luhansk,26.0
2020,,21_reg_Luhansk,32.0
2015,,22_reg_Lviv,11.0
2016,,22_reg_Lviv,43.0
2017,,22_reg_Lviv,56.0
2018,,22_reg_Lviv,66.0
2019,,22_reg_Lviv,54.0
2020,,22_reg_Lviv,64.0
2015,,23_reg_Mykolayiv,10.0
2016,,23_reg_Mykolayiv,44.0
2017,,23_reg_Mykolayiv,62.0
2018,,23_reg_Mykolayiv,71.0
2019,,23_reg_Mykolayiv,42.0
2020,,23_reg_Mykolayiv,46.0
2015,,24_reg_Odesa,56.0
2016,,24_reg_Odesa,95.0
2017,,24_reg_Odesa,106.0
2018,,24_reg_Odesa,113.0
2019,,24_reg_Odesa,61.0
