Value,Disaggregation combinations using this value,Number of indicators
11_agricul,1,1
12_indu,1,1
13_constr,1,1
14_motor_veh,1,1
15_courier,1,1
16_cater,1,1
17_telecom,1,1
18_insurance,1,1
19_estate,1,1
1_all,14,3
1_pop,1,1
20_scientific,1,1
21_support,1,1
23_educ,1,1
24_health,1,1
25_arts,1,1
26_other_serv,1,1
2_females,7,3
2_particip,1,1
3_adolescents,7,3
3_exper,1,1
4_young,7,3
children,1,1
female,1,1
male,1,1
prod_10_rusks,1,1
prod_11_other,1,1
prod_12_sugar,1,1
prod_13_cocoa,1,1
prod_14_tea,1,1
prod_15_spices,1,1
prod_16_not_else,1,1
prod_1_meat,1,1
prod_2_fish,1,1
prod_3_fru_veg,1,1
prod_4_oil,1,1
prod_5_dairy,1,1
prod_6_starch,1,1
prod_7_flour,1,1
prod_8_bread,1,1
prod_9_cakes,1,1
